ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.38,0.56,1.31,1015.84,25.0,-17.97,-38.68,14.0,48.2,5.0,1.0,385.0,243.0,5351.88,3919.46,0.0,53.86,14.01,1.8,-0.0,0.0,0.0,1.0,2023-10-02 09:32:00,
0.19,0.01,0.96,1018.05,26.7,-18.04,-38.39,1.67,52.15,3.0,6.3,326.17,1007.0,4644.75,3496.02,0.0,52.7,-3.08,33.23,0.02,0.0,0.0,1.0,2023-10-02 10:09:00,60.0
0.38,0.19,0.75,1013.42,26.1,-18.18,-38.16,69.5,58.99,3.98,3.0,367.8,1003.97,4519.78,3417.97,0.0,54.89,-16.12,61.75,-0.03,0.0,0.0,1.0,2023-10-02 10:47:00,60.0
0.08,-0.11,0.47,1050.91,27.27,-18.38,-38.07,23.51,44.25,3.79,6.53,342.49,818.27,11452.66,8533.09,1.14,43.27,-71.97,80.93,0.35,0.0,0.0,1.0,2023-10-02 11:25:00,60.0
0.38,-0.19,1.5,1019.71,28.7,-18.5,-38.0,56.0,55.6,5.0,1.3,286.0,1009.0,4023.92,3152.07,0.0,56.0,-61.21,94.37,0.04,0.0,0.0,1.0,2023-10-02 12:03:00,60.0
-0.16,-0.16,1.38,1261.18,29.58,-18.46,-37.96,4.14,8.04,3.85,1.41,273.86,1002.39,5793.96,4292.86,0.15,20.42,-115.94,95.13,2.44,0.85,0.85,1.0,2023-10-02 12:41:00,60.0
-0.19,0.19,0.94,1021.68,29.8,-18.46,-37.95,30.0,0.0,4.0,2.1,217.0,276.0,3715.9,2797.3,0.0,3.64,-125.35,95.92,0.06,0.0,0.0,1.0,2023-10-02 13:19:00,60.0
-0.19,0.0,0.94,1020.8,28.8,-18.45,-37.94,-15.73,0.0,4.0,3.2,217.43,215.13,3488.07,2812.52,-0.0,0.7,122.81,96.25,0.05,0.0,0.0,1.0,2023-10-02 13:57:00,60.0
0.01,0.18,0.76,1020.37,29.89,-18.39,-37.91,-1.4,51.65,3.0,3.2,297.4,999.93,3930.36,3067.79,0.0,36.53,-16.6,95.17,0.04,0.0,0.0,1.0,2023-10-02 14:35:00,60.0
0.19,-0.38,0.0,1020.8,30.3,-18.32,-37.83,4.0,48.2,4.0,1.4,197.0,826.0,3968.48,3101.96,0.0,36.19,-0.81,99.6,0.05,0.0,0.0,1.0,2023-10-02 15:13:00,60.0
0.19,0.19,0.94,1018.4,31.5,-18.2,-37.66,14.0,44.4,4.0,1.2,201.0,986.0,4085.78,3180.55,0.0,35.34,-25.63,112.41,0.02,0.0,0.0,1.0,2023-10-02 15:51:00,60.0
0.02,-0.38,0.38,1015.35,27.87,-18.13,-37.45,2.16,40.46,4.97,1.2,255.95,209.89,5063.13,3686.6,0.02,45.6,42.98,132.45,-0.01,0.0,0.0,1.0,2023-10-02 16:29:00,60.0
0.19,-0.18,0.39,1015.44,28.3,-17.96,-37.36,19.8,51.96,4.0,1.3,276.65,973.82,4954.88,3649.7,0.0,51.22,5.17,141.21,-0.01,0.0,0.0,1.0,2023-10-02 17:07:00,60.0
0.57,0.37,0.42,1015.78,30.59,-17.79,-37.28,39.74,40.82,3.0,2.1,254.7,1002.95,4807.5,3538.55,0.02,39.15,34.01,151.17,-0.0,0.0,0.0,1.0,2023-10-02 17:45:00,60.0
0.18,-0.01,0.76,1027.16,27.11,-17.72,-37.1,11.8,39.32,4.0,4.3,311.64,186.69,7428.55,5437.93,-0.02,26.02,-49.18,171.05,0.11,0.03,0.03,1.0,2023-10-02 18:23:00,60.0
-0.19,-0.18,0.94,1019.15,26.5,-17.64,-37.01,-4.13,0.0,3.0,1.21,299.95,935.0,3517.77,2892.53,0.02,1.18,-127.55,182.39,0.03,0.0,0.0,1.0,2023-10-02 19:01:00,60.0
-0.19,0.0,1.11,1019.6,26.4,-17.59,-36.94,-2.88,1.16,3.06,1.38,273.94,283.31,5513.82,4279.45,0.06,0.89,-109.8,190.4,0.04,0.0,0.0,1.0,2023-10-02 19:39:00,60.0
-0.19,0.0,0.94,1018.54,25.8,-17.55,-36.87,-5.8,0.0,3.0,1.4,292.03,387.02,3544.09,2857.17,0.0,0.28,-67.98,198.93,0.03,0.0,0.0,1.0,2023-10-02 20:17:00,60.0
0.37,-0.0,0.93,1019.36,25.8,-17.55,-36.86,-9.67,0.0,4.0,1.2,258.35,202.1,3386.55,2799.16,0.0,0.94,146.33,199.48,0.03,0.0,0.0,1.0,2023-10-02 20:55:00,60.0
0.19,0.0,0.94,1019.48,25.9,-17.55,-36.86,-24.0,0.0,4.0,1.2,253.0,119.0,3212.78,2735.96,-0.02,0.49,169.75,199.48,0.03,0.0,0.0,1.0,2023-10-02 21:33:00,60.0
0.19,0.0,0.94,1019.29,26.1,-17.55,-36.86,10.0,0.0,6.0,1.0,313.0,38.0,3446.94,2795.15,0.0,0.57,-166.39,199.73,0.03,0.0,0.0,1.0,2023-10-02 22:11:00,60.0
0.19,0.0,0.93,1022.43,26.2,-17.55,-36.86,-7.54,0.0,5.98,1.0,299.34,99.44,3451.38,2820.14,0.02,0.9,-127.33,199.75,0.06,0.0,0.0,1.0,2023-10-02 22:49:00,60.0
0.0,-0.0,1.12,1019.97,26.1,-17.54,-36.85,-7.93,0.0,4.02,1.12,343.87,103.11,3332.99,2836.43,0.02,1.06,-162.07,200.55,0.04,0.0,0.0,1.0,2023-10-02 23:27:00,60.0
0.19,-0.18,0.94,1020.76,25.99,-17.52,-36.86,-1.08,0.0,4.03,2.17,336.31,47.97,3227.01,2745.61,-0.02,1.66,160.72,200.25,0.05,0.0,0.0,1.0,2023-10-03 00:05:00,60.0
0.06,0.0,0.75,1022.37,26.6,-17.52,-36.87,-82.25,9.32,3.0,12.43,301.84,5.0,3251.63,2639.19,-0.04,3.43,118.86,199.91,0.06,0.0,0.0,1.0,2023-10-03 00:43:00,60.0
-0.01,0.0,1.12,1022.06,25.7,-17.47,-36.86,9.53,0.0,5.0,1.1,274.86,824.2,3109.47,2800.37,-0.01,0.2,168.36,202.46,0.06,0.0,0.0,1.0,2023-10-03 01:21:00,60.0
0.18,0.0,1.12,1022.07,26.2,-17.47,-36.86,10.07,0.0,5.0,1.4,302.53,73.93,3585.63,2781.61,0.0,0.9,-155.1,202.17,0.06,0.0,0.0,1.0,2023-10-03 01:59:00,60.0
0.19,0.0,0.93,1021.72,26.3,-17.46,-36.87,2.1,0.0,4.0,3.2,291.74,9.1,3302.74,2687.77,-0.03,0.25,67.13,201.74,0.06,0.0,0.0,1.0,2023-10-03 02:37:00,60.0
0.0,-0.19,0.75,1021.79,26.1,-17.44,-36.87,22.0,0.0,4.0,1.1,316.0,17.0,3403.37,2765.44,0.0,0.55,124.78,202.14,0.06,0.0,0.0,1.0,2023-10-03 03:15:00,60.0
0.37,0.0,0.94,1022.35,26.3,-17.44,-36.87,-7.84,0.0,4.98,1.1,334.1,16.1,3648.43,2833.51,0.02,0.58,48.71,201.78,0.06,0.0,0.0,1.0,2023-10-03 03:53:00,60.0
0.18,0.0,0.94,1021.48,26.3,-17.39,-36.86,-0.03,0.0,5.0,1.2,315.07,10.15,3150.87,2790.36,0.0,0.51,36.27,204.01,0.05,0.0,0.0,1.0,2023-10-03 04:31:00,60.0
0.36,0.0,0.59,1021.27,26.5,-17.39,-36.87,6.52,0.0,2.0,2.4,331.23,5.2,3242.62,2825.42,0.02,0.39,-127.35,203.82,0.05,0.0,0.0,1.0,2023-10-03 05:09:00,60.0
0.0,-0.19,-0.75,1020.32,25.8,-17.38,-36.87,30.0,25.9,4.0,1.4,329.0,248.0,4754.54,3494.56,0.0,30.85,6.62,203.45,0.04,0.0,0.0,1.0,2023-10-03 05:47:00,60.0
0.38,0.0,0.75,1022.89,26.5,-17.37,-36.86,-2.19,0.0,4.0,1.2,221.85,5.02,3285.4,2483.7,-0.1,0.82,126.75,205.08,0.07,0.0,0.0,1.0,2023-10-03 06:25:00,60.0
0.55,0.0,0.7,1024.17,26.5,-17.34,-36.86,23.8,0.0,3.0,3.45,220.34,5.0,3668.25,2823.93,0.02,1.17,1.38,206.81,0.08,0.0,0.0,1.0,2023-10-03 07:03:00,60.0
0.27,-0.08,0.75,1025.42,26.73,-17.34,-36.86,-14.93,2.14,3.0,3.4,212.29,5.0,4578.18,3497.55,0.27,5.64,-106.66,206.58,0.09,0.0,0.0,1.0,2023-10-03 07:41:00,60.0
0.5,-1.52,0.77,1027.52,26.5,-17.32,-36.86,-2.03,0.0,4.92,1.12,197.36,5.0,5024.87,3502.72,0.02,0.69,-5.54,206.97,0.11,0.0,0.0,1.0,2023-10-03 08:19:00,60.0
0.0,0.18,0.94,1022.76,25.7,-17.24,-36.8,66.2,0.0,4.0,1.4,256.62,317.32,3094.59,2816.89,0.0,0.41,-92.22,215.81,0.07,0.0,0.0,1.0,2023-10-03 08:57:00,60.0
-0.18,0.01,1.28,1023.08,26.69,-17.22,-36.81,28.07,0.97,4.03,5.85,315.03,505.13,3940.88,3015.51,0.02,11.0,-12.85,216.06,0.07,0.0,0.0,1.0,2023-10-03 09:35:00,60.0
0.0,0.0,0.01,1024.05,26.1,-17.19,-36.82,2.17,37.0,4.98,1.24,384.67,192.67,4424.98,3274.1,-0.0,32.31,-1.13,217.01,0.08,0.0,0.0,1.0,2023-10-03 10:13:00,60.0
-0.37,0.2,0.94,1024.11,26.9,-17.17,-36.83,13.5,0.0,4.0,3.2,278.1,769.3,3882.82,2831.1,0.0,0.8,15.16,216.29,0.08,0.0,0.0,1.0,2023-10-03 10:51:00,60.0
0.18,-0.18,0.76,1025.46,27.2,-17.18,-36.83,-27.08,3.58,2.97,4.37,288.15,97.38,3969.2,2932.33,0.02,2.76,-122.28,215.76,0.09,0.0,0.0,1.0,2023-10-03 11:29:00,60.0
0.74,0.73,1.85,1024.99,27.4,-17.18,-36.86,4.1,51.96,4.0,1.1,368.1,789.16,6200.97,4275.13,0.02,54.13,1.58,213.23,0.09,0.0,0.0,1.0,2023-10-03 12:07:00,60.0
0.56,-0.94,1.12,1022.23,27.8,-17.26,-37.13,12.0,85.2,4.0,1.1,351.0,871.0,5189.23,3630.04,0.0,58.38,2.1,183.47,0.06,0.0,0.0,1.0,2023-10-03 12:45:00,60.0
0.56,-0.18,1.12,1022.85,32.8,-17.36,-37.46,7.73,48.45,4.0,1.2,349.77,972.13,4788.4,3392.81,0.0,58.58,-3.05,147.24,0.07,0.0,0.0,1.0,2023-10-03 13:23:00,60.0
0.19,0.36,0.75,1021.77,33.3,-17.43,-37.78,-7.8,46.86,3.97,1.59,369.84,985.97,4794.84,3433.38,0.02,51.58,-7.31,113.43,0.06,0.0,0.0,1.0,2023-10-03 14:01:00,60.0
0.19,-0.18,1.12,1021.08,29.49,-17.47,-38.04,21.25,62.75,3.0,1.3,333.41,947.46,5141.56,3653.05,-0.01,56.56,-0.51,87.95,0.05,0.0,0.0,1.0,2023-10-03 14:39:00,60.0
0.2,-0.21,0.91,1020.99,29.1,-17.61,-38.33,10.0,69.51,3.0,2.0,319.72,945.76,5671.95,4018.93,0.13,63.03,-7.45,54.78,0.05,0.0,0.0,1.0,2023-10-03 15:17:00,60.0
-0.16,0.0,0.77,1025.44,29.35,-17.78,-38.61,9.52,5.98,2.08,2.31,232.27,896.76,4506.59,3308.45,0.03,36.91,-0.42,22.25,0.09,0.0,0.0,1.0,2023-10-03 15:55:00,60.0
0.94,0.38,2.25,1018.93,27.5,-17.96,-38.68,12.0,63.0,5.0,1.3,297.0,925.0,5259.11,3772.46,0.0,69.17,30.46,1.31,0.03,0.0,0.0,1.0,2023-10-03 16:33:00,60.0
