ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,0.19,1.5,1008.68,23.2,-17.96,-38.69,10.0,44.4,4.0,1.4,294.0,993.0,4467.11,3431.11,0.0,32.02,15.12,1.19,-0.0,0.0,0.0,2.0,2023-10-02 08:40:01,
-0.18,0.54,0.38,1008.84,24.0,-17.93,-38.66,63.9,51.72,3.0,1.99,202.2,993.0,4175.93,3197.17,-0.02,47.41,-16.07,4.86,-0.0,0.0,0.0,2.0,2023-10-02 08:45:01,60.0
0.19,0.19,0.94,1009.0,24.5,-17.9,-38.64,52.0,37.0,4.0,1.4,184.0,993.0,4217.63,3266.71,0.0,43.06,-10.71,8.63,-0.0,0.0,0.0,2.0,2023-10-02 08:50:01,60.0
0.0,0.19,-0.56,1009.33,24.9,-17.88,-38.62,90.0,48.2,3.0,1.4,208.0,993.0,4122.71,3242.49,0.0,44.7,6.55,12.28,0.0,0.0,0.0,2.0,2023-10-02 08:55:01,60.0
0.0,0.19,0.94,1009.7,25.4,-17.85,-38.6,10.0,44.4,3.0,2.0,312.0,994.0,4110.78,3248.93,0.0,43.75,8.71,16.61,0.01,0.0,0.0,2.0,2023-10-02 09:01:01,60.0
0.19,0.37,0.94,1010.21,25.7,-17.82,-38.58,8.2,48.14,3.0,2.2,214.92,994.0,3991.19,3204.01,0.0,41.14,-8.91,20.13,0.01,0.0,0.0,2.0,2023-10-02 09:06:01,60.0
0.18,-0.01,0.02,1010.22,26.0,-17.79,-38.56,14.26,47.96,3.97,1.43,307.71,994.0,4174.31,3327.11,0.03,42.45,0.56,23.57,0.01,0.0,0.0,2.0,2023-10-02 09:11:01,60.0
0.0,-0.0,0.94,1010.34,26.2,-17.76,-38.54,-9.75,44.4,3.02,2.38,266.56,994.0,3910.39,3131.44,-0.02,45.69,-6.15,28.25,0.01,0.0,0.0,2.0,2023-10-02 09:17:01,60.0
0.19,-0.19,0.56,1010.09,26.4,-17.73,-38.52,8.0,44.4,4.0,1.4,356.0,994.0,3958.68,3192.41,0.02,46.64,-16.13,32.02,0.01,0.0,0.0,2.0,2023-10-02 09:22:01,60.0
0.75,-0.18,2.79,1010.19,26.6,-17.7,-38.5,15.7,44.46,4.0,1.4,355.62,995.0,3751.37,3068.53,-0.02,45.75,3.24,35.81,0.01,0.0,0.0,2.0,2023-10-02 09:27:01,60.0
