ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.5,-0.56,1.88,1017.48,33.6,-18.0,-38.7,4.0,51.9,3.0,3.3,376.0,996.0,,30244.06,20531.09,32.6,40.8,-132.55,3.78,0.08,0.0,0.0,2.0,2019-12-05 11:43:58,
0.24,-0.34,-1.15,1016.7,33.5,-18.04,-38.72,3.33,57.24,3.0,3.2,380.11,995.0,,910.01,627.88,0.01,56.28,0.78,9.14,0.07,0.0,0.0,2.0,2019-12-05 11:49:58,60.0
0.34,-0.36,1.09,1017.29,34.13,-18.09,-38.73,0.0,53.41,3.18,1.77,360.15,995.59,,23175.53,16062.97,24.97,53.78,2.13,14.46,0.08,0.0,0.0,2.0,2019-12-05 11:55:58,60.0
0.59,-0.44,1.64,1017.11,34.22,-18.13,-38.75,13.82,63.0,2.49,3.44,314.75,996.0,,9997.92,6906.59,9.51,56.99,7.73,19.61,0.07,0.0,0.0,2.0,2019-12-05 12:01:58,60.0
0.7,-0.39,1.21,1013.19,34.4,-18.16,-38.8,20.0,63.0,3.8,1.32,197.8,996.0,,1009.0,695.4,0.0,58.07,-5.67,24.12,0.04,0.0,0.0,2.0,2019-12-05 12:07:58,60.0
1.3,-1.09,3.35,1011.88,29.12,-18.17,-38.85,-2.0,59.3,3.0,2.2,189.6,992.0,,1187.94,818.03,0.0,57.06,-7.07,28.02,0.02,0.0,0.0,2.0,2019-12-05 12:14:58,60.0
0.26,-0.04,0.91,1010.27,28.9,-18.18,-38.9,34.6,63.37,3.0,2.1,281.4,993.0,,910.72,638.13,-0.01,74.36,-6.53,32.39,0.01,0.0,0.0,2.0,2019-12-05 12:20:58,60.0
0.22,0.31,0.94,1010.58,29.6,-18.18,-38.96,80.8,66.7,3.0,2.2,300.4,992.0,,864.63,593.81,0.0,81.78,-8.55,37.27,0.01,0.0,0.0,2.0,2019-12-05 12:26:58,60.0
0.38,-0.15,1.16,1025.67,28.45,-18.19,-39.01,-2.36,17.18,3.27,1.9,275.18,991.0,,1178.18,803.03,0.07,30.6,20.78,41.59,0.16,0.0,0.0,2.0,2019-12-05 12:32:58,60.0
-0.01,0.16,-0.49,1010.99,29.08,-18.21,-39.04,73.2,65.22,4.0,1.2,268.8,991.2,,967.67,668.06,-0.02,62.52,51.94,45.58,0.01,0.0,0.0,2.0,2019-12-05 12:38:58,60.0
-0.28,0.15,-0.39,1011.7,28.0,-18.23,-39.05,43.2,68.18,3.8,1.42,302.2,991.0,,990.92,694.74,0.0,64.97,55.23,48.16,0.02,0.0,0.0,2.0,2019-12-05 12:45:58,60.0
0.4,-0.2,1.35,1011.05,28.1,-18.26,-39.08,6.73,42.38,3.0,1.4,255.82,991.0,,1222.95,856.3,0.08,33.14,-122.64,51.89,0.01,0.0,0.0,2.0,2019-12-05 12:51:58,60.0
0.02,0.16,0.45,1010.48,29.28,-18.26,-39.07,43.2,68.92,3.0,2.24,258.0,992.0,,899.84,627.11,0.0,65.03,50.57,51.71,0.01,0.0,0.0,2.0,2019-12-05 12:57:58,60.0
0.0,-0.07,0.35,1012.29,30.0,-18.3,-39.07,94.0,54.59,3.0,4.18,279.18,993.0,,905.33,638.58,0.07,65.96,6.35,54.07,0.03,0.0,0.0,2.0,2019-12-05 13:03:58,60.0
1.03,-0.81,2.94,1012.18,30.0,-18.27,-39.05,-6.22,43.99,3.11,2.02,248.33,993.0,,1002.13,687.33,-0.09,56.18,-58.52,50.78,0.03,0.0,0.0,2.0,2019-12-05 13:09:58,60.0
0.15,-0.11,-0.34,1011.25,30.2,-18.23,-39.05,46.0,37.0,3.0,2.12,256.8,993.0,,922.58,649.5,0.0,42.6,4.09,48.13,0.02,0.0,0.0,2.0,2019-12-05 13:16:58,60.0
-0.13,0.08,-0.51,1013.05,29.22,-18.25,-39.04,23.78,28.37,3.0,2.2,277.89,992.0,,1057.39,761.4,-0.06,30.26,13.52,48.24,0.03,0.0,0.0,2.0,2019-12-05 13:22:58,60.0
0.28,-0.22,1.04,1014.43,27.9,-18.26,-39.06,2.91,0.0,3.0,2.3,280.27,991.0,,731.16,507.66,0.02,4.7,-106.48,50.58,0.05,0.0,0.0,2.0,2019-12-05 13:28:58,60.0
0.22,-0.29,0.93,1013.73,28.0,-18.26,-39.06,15.0,0.0,3.0,2.4,290.75,991.0,,849.99,572.52,0.16,7.03,-36.0,50.66,0.04,0.0,0.0,2.0,2019-12-05 13:34:58,60.0
0.19,-0.51,0.97,1013.51,28.2,-18.26,-39.06,10.44,0.0,3.44,2.56,291.67,991.0,,745.17,492.23,-0.01,3.72,11.67,50.72,0.04,0.0,0.0,2.0,2019-12-05 13:40:58,60.0
