ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
-0.06,-0.25,-0.81,1010.11,26.1,-17.97,-38.7,14.0,70.4,5.0,1.1,348.0,991.0,,701.74,465.0,-0.1,73.46,-33.2,1.16,0.0,0.0,0.0,3.0,2019-12-06 07:05:59,
1.56,-2.25,3.56,1010.27,26.5,-18.01,-38.72,12.0,40.7,4.0,1.1,260.0,991.0,,1042.36,689.07,0.0,59.66,-14.92,5.66,0.01,0.0,0.0,3.0,2019-12-06 07:10:59,60.0
0.19,-0.38,0.94,1011.62,26.9,-18.03,-38.75,-32.0,0.0,3.0,1.1,263.0,991.0,,730.54,501.25,0.0,3.04,166.51,9.66,0.02,0.0,0.0,3.0,2019-12-06 07:15:59,60.0
0.38,-0.38,0.88,1010.18,26.1,-18.04,-38.76,0.0,70.4,4.0,1.2,301.0,991.0,,887.42,589.44,-0.1,54.49,16.24,10.44,0.01,0.0,0.0,3.0,2019-12-06 07:20:59,60.0
0.14,-0.34,0.49,1010.09,25.3,-18.07,-38.79,10.0,71.51,4.0,1.2,295.3,990.0,,973.41,646.59,0.0,74.63,-29.15,15.31,0.0,0.0,0.0,3.0,2019-12-06 07:25:59,60.0
0.42,-0.04,1.0,1010.34,25.2,-18.09,-38.83,-31.4,47.37,4.0,1.92,279.5,990.0,,866.15,576.91,0.0,59.14,5.35,19.9,0.01,0.0,0.0,3.0,2019-12-06 07:30:59,60.0
0.42,-0.08,0.94,1010.97,26.4,-18.1,-38.83,-10.2,0.0,5.0,1.1,229.2,990.0,,678.04,483.66,-0.01,4.77,-74.54,20.64,0.01,0.0,0.0,3.0,2019-12-06 07:35:59,60.0
0.09,-0.13,0.74,1009.87,25.4,-18.11,-38.85,-12.0,83.35,4.0,1.2,250.9,990.1,,892.08,594.07,0.0,62.33,7.13,23.62,0.0,0.0,0.0,3.0,2019-12-06 07:40:59,60.0
0.26,-0.41,0.83,1009.99,25.1,-18.14,-38.89,4.4,74.09,4.9,1.13,284.5,990.0,,902.57,607.74,0.01,67.64,14.11,28.43,0.0,0.0,0.0,3.0,2019-12-06 07:45:59,60.0
0.43,-0.88,1.5,1009.71,25.1,-18.17,-38.93,4.8,46.63,4.0,1.38,256.9,990.0,,917.94,619.37,0.0,60.0,-0.79,33.35,0.0,0.0,0.0,3.0,2019-12-06 07:50:59,60.0
0.38,-0.38,1.19,1009.87,25.1,-18.19,-38.97,68.0,92.6,3.0,1.3,273.0,990.0,,808.04,546.01,-0.1,82.86,10.72,38.33,0.0,0.0,0.0,3.0,2019-12-06 07:55:59,60.0
-0.06,-0.12,-0.38,1007.32,25.2,-18.21,-39.0,26.0,25.9,4.0,1.4,225.0,990.0,,848.39,584.45,0.0,22.14,-84.08,42.25,-0.02,0.0,0.0,3.0,2019-12-06 08:00:59,60.0
0.17,-0.2,0.62,1010.32,25.5,-18.22,-39.04,-16.18,29.61,4.0,1.36,231.27,990.0,,1061.02,711.38,0.08,66.91,-9.95,46.05,0.01,0.0,0.0,3.0,2019-12-06 08:05:59,60.0
0.81,-0.75,2.31,1007.47,25.6,-18.24,-39.08,16.0,74.1,4.0,2.1,280.0,991.0,,874.66,595.13,0.0,55.19,-41.26,50.45,-0.02,0.0,0.0,3.0,2019-12-06 08:10:59,60.0
0.26,-0.45,0.92,1007.08,25.7,-18.26,-39.05,-11.8,34.41,4.0,2.1,300.2,990.0,,864.19,601.12,0.0,42.79,-6.13,49.72,-0.03,0.0,0.0,3.0,2019-12-06 08:15:59,60.0
0.11,-0.03,-1.21,1008.47,26.0,-18.25,-39.04,7.6,76.69,4.0,1.3,234.7,990.0,,959.91,653.22,0.0,59.91,-0.3,48.52,-0.01,0.0,0.0,3.0,2019-12-06 08:20:59,60.0
