ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,-0.75,1.12,1036.91,33.5,-17.97,-38.69,4.0,51.9,5.0,1.2,278.0,999.0,,997.07,643.39,0.1,53.99,10.27,1.12,0.03,0.0,0.0,3.0,2019-12-05 14:18:10,
0.31,-0.41,1.0,1036.5,32.49,-18.04,-38.69,-6.2,62.63,3.0,2.37,178.6,998.0,,963.08,620.49,0.0,52.66,22.0,8.72,0.02,0.0,0.0,3.0,2019-12-05 14:27:10,60.0
0.19,-0.5,0.88,1037.25,32.3,-18.1,-38.67,0.0,51.9,4.0,1.2,209.0,997.0,,1021.12,661.45,0.1,42.78,10.62,15.86,0.03,0.0,0.0,3.0,2019-12-05 14:36:10,60.0
0.19,-0.44,0.81,1033.3,31.9,-18.15,-38.62,-6.0,59.3,3.0,1.4,186.0,997.0,,829.18,543.78,0.0,55.22,-15.77,22.55,-0.01,0.0,0.0,3.0,2019-12-05 14:46:10,60.0
0.31,-0.5,1.19,1032.88,29.2,-18.19,-38.58,54.0,33.3,4.0,1.3,239.0,995.0,,841.91,558.42,0.0,39.72,-46.51,27.8,-0.01,0.0,0.0,3.0,2019-12-05 14:55:10,60.0
0.36,-0.15,0.24,1040.9,27.9,-18.2,-38.55,16.5,30.52,4.17,1.28,264.92,994.0,,819.28,544.33,-0.17,33.87,-28.48,30.08,0.07,0.0,0.0,3.0,2019-12-05 15:05:10,60.0
0.13,0.0,0.91,1032.77,28.51,-18.2,-38.51,63.2,37.37,4.0,1.2,271.5,995.0,,882.06,579.84,0.0,40.07,-24.35,32.0,-0.01,0.0,0.0,3.0,2019-12-05 15:14:10,60.0
0.19,-0.5,0.75,1037.44,27.8,-18.2,-38.51,6.0,0.0,3.0,1.3,197.0,994.0,,690.78,433.72,-0.1,12.3,54.34,33.1,0.03,0.0,0.0,3.0,2019-12-05 15:23:10,60.0
0.56,-0.38,-0.38,1033.36,29.0,-18.24,-38.48,32.0,48.2,3.0,2.1,214.0,995.0,,835.03,552.97,0.0,56.36,-7.89,37.64,-0.01,0.0,0.0,3.0,2019-12-05 15:33:10,60.0
0.08,-0.01,0.35,1032.12,29.58,-18.26,-38.44,45.0,35.15,4.0,1.35,272.33,996.0,,1019.99,677.91,0.17,39.35,2.8,42.65,-0.02,0.0,0.0,3.0,2019-12-05 15:42:10,60.0
0.25,-0.31,0.81,1034.51,30.0,-18.32,-38.41,-6.0,63.0,4.0,1.3,249.0,996.0,,786.33,490.2,0.0,56.95,0.35,49.44,0.0,0.0,0.0,3.0,2019-12-05 15:52:10,60.0
0.07,-0.38,0.64,1036.53,28.5,-18.37,-38.43,6.73,59.64,4.91,1.11,232.36,995.0,,1056.16,698.66,0.09,59.79,14.74,52.66,0.02,0.0,0.0,3.0,2019-12-05 16:01:10,60.0
0.31,-0.34,0.86,1037.86,27.3,-18.4,-38.43,11.78,0.0,4.0,1.1,219.56,993.0,,636.35,436.43,-0.09,4.63,21.16,56.48,0.04,0.0,0.0,3.0,2019-12-05 16:10:10,60.0
0.25,-0.5,1.0,1036.49,26.4,-18.42,-38.43,0.0,59.3,3.0,1.4,277.0,993.0,,882.98,578.11,0.0,63.3,3.37,57.63,0.02,0.0,0.0,3.0,2019-12-05 16:20:10,60.0
0.31,-0.44,0.94,1037.03,28.0,-18.47,-38.46,-20.0,55.6,4.0,1.2,268.0,994.0,,899.58,588.07,0.0,54.97,37.1,60.97,0.03,0.0,0.0,3.0,2019-12-05 16:29:10,60.0
0.38,-0.38,0.94,1032.7,28.0,-18.51,-38.49,38.0,25.9,4.0,1.1,221.0,994.0,,1004.95,629.66,0.0,17.93,-127.17,64.11,-0.01,0.0,0.0,3.0,2019-12-05 16:39:10,60.0
0.1,0.73,-1.28,1057.13,27.8,-18.49,-38.48,6.0,18.5,3.1,2.37,264.2,994.0,,1459.7,953.4,0.02,21.42,-24.17,62.47,0.23,0.1,0.1,3.0,2019-12-05 16:48:10,60.0
0.44,-0.38,0.81,1032.3,28.8,-18.47,-38.47,36.0,44.4,5.0,1.2,311.0,995.0,,849.33,541.3,0.0,34.35,34.02,60.98,-0.02,0.0,0.0,3.0,2019-12-05 16:57:10,60.0
0.32,-0.43,0.83,1032.37,28.98,-18.45,-38.46,11.33,20.97,5.0,1.2,299.33,995.0,,1040.78,652.2,0.15,14.17,-44.18,59.15,-0.02,0.0,0.0,3.0,2019-12-05 17:07:10,60.0
0.15,-0.2,0.56,1033.42,28.5,-18.43,-38.45,23.11,53.53,5.0,1.3,310.22,995.0,,943.17,612.08,-0.08,33.33,-38.7,57.97,-0.01,0.0,0.0,3.0,2019-12-05 17:16:10,60.0
0.53,-0.66,0.01,1032.49,28.4,-18.49,-38.51,16.73,70.06,3.09,2.1,293.73,995.0,,988.35,648.74,0.09,68.26,1.29,61.54,-0.02,0.0,0.0,3.0,2019-12-05 17:26:10,60.0
0.21,0.45,-0.57,1035.2,28.8,-18.53,-38.57,8.67,56.22,4.0,2.0,320.33,995.0,,1026.48,657.73,0.15,51.92,-13.38,64.48,0.01,0.0,0.0,3.0,2019-12-05 17:35:10,60.0
0.38,-0.44,1.06,1028.81,28.3,-18.55,-38.6,6.0,25.9,3.0,2.2,302.0,994.0,,841.07,558.44,0.0,11.77,-6.62,66.21,-0.05,0.0,0.0,3.0,2019-12-05 17:44:10,60.0
0.38,-0.37,-0.32,1032.83,28.41,-18.56,-38.64,17.64,63.34,3.91,1.28,336.55,994.91,,904.7,603.45,0.09,59.11,5.5,66.43,-0.01,0.0,0.0,3.0,2019-12-05 17:54:10,60.0
0.08,-0.12,0.41,1034.87,29.15,-18.58,-38.72,-4.47,59.3,3.65,1.49,328.47,995.35,,16700.6,11087.87,17.61,51.47,-8.14,68.2,0.01,0.0,0.0,3.0,2019-12-05 18:03:10,60.0
0.26,-0.36,0.95,1031.83,28.4,-18.59,-38.77,30.0,65.96,2.8,2.56,268.2,995.0,,901.28,601.78,0.0,69.47,-8.41,70.06,-0.02,0.0,0.0,3.0,2019-12-05 18:13:10,60.0
0.31,-0.44,0.94,1028.53,29.5,-18.58,-38.78,44.0,11.1,3.0,2.2,207.0,994.0,,852.17,561.91,0.0,14.53,62.73,69.36,-0.06,0.0,0.0,3.0,2019-12-05 18:22:10,60.0
1.31,-1.38,2.69,1029.24,27.9,-18.58,-38.79,-6.0,37.0,3.0,2.4,275.0,994.0,,815.62,543.36,-0.1,13.96,66.75,68.71,-0.05,0.0,0.0,3.0,2019-12-05 18:32:10,60.0
1.29,-0.62,2.18,1068.11,27.81,-18.55,-38.8,16.85,27.48,3.0,3.13,335.42,994.0,,5560.76,3673.65,4.57,14.41,67.21,66.33,0.34,0.14,0.14,3.0,2019-12-05 18:41:10,60.0
0.36,-0.42,1.05,1030.59,27.78,-18.54,-38.79,32.0,26.72,3.0,4.0,357.0,993.0,,775.8,523.16,-0.08,38.54,35.54,65.01,-0.04,0.0,0.0,3.0,2019-12-05 18:50:10,60.0
0.2,-0.3,0.83,1446.19,28.29,-18.53,-38.78,36.78,26.39,3.73,3.8,339.23,993.87,,40407.84,27011.48,42.92,14.89,51.61,63.48,4.1,0.87,0.87,3.0,2019-12-05 19:00:10,60.0
0.3,-0.27,0.98,1034.85,28.49,-18.5,-38.79,76.36,43.39,3.0,2.4,264.09,994.0,,860.7,571.53,0.1,25.39,3.15,59.89,0.01,0.0,0.0,3.0,2019-12-05 19:09:10,60.0
0.81,-1.06,1.81,1031.7,28.0,-18.46,-38.81,-88.0,33.3,3.0,2.0,234.0,994.0,,894.84,607.82,0.0,36.38,-12.22,56.06,-0.02,0.0,0.0,3.0,2019-12-05 19:19:10,60.0
0.38,-0.25,1.12,1031.77,28.2,-18.42,-38.81,54.0,25.9,3.0,2.0,300.0,994.0,,974.11,654.68,0.0,31.3,-3.37,51.72,-0.02,0.0,0.0,3.0,2019-12-05 19:28:10,60.0
0.06,0.0,0.12,1029.14,27.4,-18.41,-38.81,-14.0,63.0,3.0,2.0,290.0,993.0,,878.64,574.82,0.0,35.93,156.65,51.11,-0.05,0.0,0.0,3.0,2019-12-05 19:37:10,60.0
0.73,-0.66,1.02,1030.06,26.9,-18.42,-38.8,60.18,24.22,3.0,1.4,301.82,993.0,,1026.67,686.43,0.09,28.02,-87.94,51.98,-0.04,0.0,0.0,3.0,2019-12-05 19:47:10,60.0
0.69,-1.81,1.06,1031.08,27.0,-18.41,-38.8,6.0,37.0,3.0,1.4,289.0,993.0,,764.26,510.96,-0.1,45.7,-59.35,50.72,-0.03,0.0,0.0,3.0,2019-12-05 19:56:10,60.0
0.87,-1.07,1.94,1445.4,26.24,-18.4,-38.8,28.48,22.74,2.85,2.31,304.8,989.59,,30951.22,20532.59,27.06,6.69,8.38,49.73,4.1,0.85,3.41,3.0,2019-12-05 20:06:10,60.0
-0.06,-0.81,0.44,1031.08,26.5,-18.4,-38.79,38.0,44.4,3.0,2.1,212.0,993.0,,931.0,614.88,0.0,33.69,73.8,48.95,-0.03,0.0,0.0,3.0,2019-12-05 20:15:10,60.0
0.55,-0.81,1.37,1031.53,27.2,-18.37,-38.78,18.92,34.72,3.0,2.2,329.08,993.0,,1021.29,677.99,0.21,24.74,0.63,46.38,-0.03,0.0,0.0,3.0,2019-12-05 20:24:10,60.0
0.25,-0.41,0.9,1033.75,27.15,-18.33,-38.78,11.22,31.48,3.0,1.89,311.76,993.0,,18856.2,12550.55,20.15,26.53,19.31,41.69,-0.0,0.0,0.0,3.0,2019-12-05 20:34:10,60.0
0.31,0.12,1.12,1030.22,26.7,-18.3,-38.76,-8.0,22.2,3.0,1.4,245.0,993.0,,894.26,591.77,0.0,22.09,75.39,38.09,-0.04,0.0,0.0,3.0,2019-12-05 20:43:10,60.0
0.19,0.25,1.12,1032.81,26.8,-18.27,-38.74,-4.0,33.3,3.0,1.4,240.0,993.0,,826.64,552.79,0.0,40.01,-50.79,33.92,-0.01,0.0,0.0,3.0,2019-12-05 20:53:10,60.0
0.49,-0.33,1.49,1033.45,26.7,-18.22,-38.75,-16.0,39.69,3.0,1.3,264.91,993.0,,931.58,621.12,0.09,26.66,-10.61,29.28,-0.01,0.0,0.0,3.0,2019-12-05 21:02:10,60.0
0.3,-0.14,0.98,1033.52,26.9,-18.18,-38.75,-1.82,40.36,3.0,1.3,243.91,993.0,,878.79,587.47,0.09,37.49,-1.83,24.44,-0.01,0.0,0.0,3.0,2019-12-05 21:11:10,60.0
-0.12,-0.19,-0.38,1033.21,26.9,-18.13,-38.74,-28.0,25.9,3.0,1.3,278.0,993.0,,861.01,572.41,0.0,29.38,6.73,19.41,-0.01,0.0,0.0,3.0,2019-12-05 21:21:10,60.0
0.19,-0.31,0.88,1033.79,27.0,-18.09,-38.74,0.0,29.6,3.0,1.3,348.0,993.0,,811.43,545.19,0.0,28.3,-47.84,15.09,-0.0,0.0,0.0,3.0,2019-12-05 21:30:10,60.0
0.81,-0.98,2.26,1033.85,27.1,-18.05,-38.72,-6.55,28.93,3.0,1.3,297.45,993.0,,968.64,646.69,0.08,31.68,12.52,10.48,-0.0,0.0,0.0,3.0,2019-12-05 21:40:10,60.0
0.29,-0.57,1.01,1033.91,27.1,-18.02,-38.71,-4.2,25.9,4.0,1.3,299.9,993.0,,883.36,588.82,0.01,27.25,15.73,6.48,-0.0,0.0,0.0,3.0,2019-12-05 21:49:10,60.0
0.31,-0.56,0.94,1034.9,27.1,-17.99,-38.7,0.0,25.9,4.0,1.3,303.0,993.0,,928.58,615.41,0.0,27.46,49.2,2.36,0.01,0.0,0.0,3.0,2019-12-05 21:59:10,60.0
