ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
-0.06,0.19,0.44,1055.02,28.4,-17.97,-38.68,4.0,37.0,5.0,1.4,240.0,994.0,30253.09,21899.33,5.15,29.83,-77.99,3.12,0.26,0.0,0.0,1.0,2021-08-16 16:24:10,
0.11,0.01,0.89,1019.4,28.2,-17.98,-38.66,-70.84,43.64,3.11,3.2,260.15,994.0,4212.46,3143.26,0.0,47.45,4.35,5.19,-0.1,0.0,0.0,1.0,2021-08-16 16:27:10,60.0
0.11,0.32,0.98,1018.63,28.51,-17.98,-38.63,26.57,35.04,4.77,1.62,228.62,994.0,4161.41,3112.51,0.0,47.86,9.2,7.57,-0.1,0.0,0.0,1.0,2021-08-16 16:30:10,60.0
0.55,0.12,1.7,1018.49,29.0,-17.98,-38.6,40.43,43.43,4.87,1.62,270.21,994.0,3966.12,2993.05,-0.03,47.64,12.04,10.73,-0.1,0.0,0.0,1.0,2021-08-16 16:34:10,60.0
0.11,0.02,0.84,1102.58,28.5,-17.98,-38.59,52.35,38.74,3.35,2.86,269.82,993.82,8989.54,6582.26,0.93,39.91,-0.53,12.53,0.73,0.18,0.18,1.0,2021-08-16 16:37:10,60.0
0.27,0.1,0.92,1412.86,26.28,-17.98,-38.57,31.48,31.5,4.66,1.63,269.17,993.17,26348.53,19007.95,4.26,26.7,-14.01,14.06,3.82,0.83,0.83,1.0,2021-08-16 16:41:10,60.0
0.24,0.11,1.24,1061.27,25.64,-17.98,-38.57,25.97,33.74,3.88,3.12,257.32,993.0,5627.72,4041.53,-0.02,8.17,-115.71,14.37,0.32,0.12,0.12,1.0,2021-08-16 16:44:10,60.0
0.18,0.12,0.39,1016.8,25.71,-17.99,-38.55,45.59,51.13,4.86,1.43,272.1,993.0,4323.52,3198.27,0.01,45.51,1.5,16.58,-0.12,0.0,0.0,1.0,2021-08-16 16:48:10,60.0
-0.05,0.06,0.61,1019.74,25.9,-17.99,-38.53,-19.17,46.96,4.08,2.31,277.5,993.0,4952.75,3618.7,0.02,42.57,-20.62,18.45,-0.09,0.0,0.0,1.0,2021-08-16 16:51:10,60.0
0.12,0.03,0.5,1018.22,26.41,-17.99,-38.51,90.19,62.87,4.13,1.91,262.32,993.0,4338.59,3257.89,0.03,42.89,-36.26,21.2,-0.11,0.0,0.0,1.0,2021-08-16 16:55:10,60.0
-0.0,0.25,0.67,1018.85,26.91,-17.99,-38.49,29.59,44.4,4.08,2.13,319.48,993.0,4448.96,3315.33,-0.01,46.15,6.61,22.82,-0.1,0.0,0.0,1.0,2021-08-16 16:58:10,60.0
0.5,0.12,0.38,1019.07,27.5,-17.99,-38.47,60.0,48.2,5.0,1.3,283.0,994.0,4873.36,3652.88,0.1,40.39,46.38,25.19,-0.1,0.0,0.0,1.0,2021-08-16 17:02:10,60.0
