ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,-0.06,1.12,1049.67,26.3,-17.98,-38.71,-6.0,40.7,5.0,1.2,288.0,992.0,33635.47,23854.67,5.12,21.69,-3.5,2.51,0.08,0.0,0.0,2.0,2021-08-14 16:26:08,
0.38,0.01,0.84,1041.66,26.41,-18.02,-38.73,24.69,72.64,4.93,1.32,229.38,992.07,5268.79,3866.78,0.0,43.27,-14.54,7.35,0.0,0.0,0.0,2.0,2021-08-14 16:32:08,60.0
0.43,0.06,1.17,1040.71,25.01,-18.06,-38.75,8.92,48.01,3.95,3.21,261.51,991.0,5002.77,3721.27,0.01,47.33,8.24,12.06,-0.0,0.0,0.0,2.0,2021-08-14 16:39:08,60.0
0.33,0.11,0.66,1214.07,25.15,-18.1,-38.75,19.83,30.28,5.0,1.2,320.22,991.0,30326.03,21855.05,4.24,33.77,4.11,15.98,1.72,0.82,0.82,2.0,2021-08-14 16:46:08,60.0
0.25,0.12,0.87,1044.52,25.51,-18.14,-38.76,37.76,49.3,3.0,2.89,331.32,991.85,5345.47,3942.01,0.22,47.7,1.44,20.9,0.03,0.0,0.0,2.0,2021-08-14 16:53:08,60.0
0.24,0.02,0.94,1044.71,26.33,-18.18,-38.78,34.72,47.76,4.0,3.3,345.77,992.11,4569.94,3371.8,0.0,48.06,5.71,25.26,0.04,0.0,0.0,2.0,2021-08-14 16:59:08,60.0
0.19,0.3,0.88,1043.25,27.0,-18.21,-38.81,112.27,48.2,4.0,3.3,353.82,993.0,5071.24,3714.82,-0.01,49.43,11.79,30.2,0.02,0.0,0.0,2.0,2021-08-14 17:06:08,60.0
0.02,0.25,1.08,1328.08,26.98,-18.23,-38.83,-34.8,0.37,4.0,3.3,243.4,992.95,5813.2,4131.06,0.02,37.94,69.28,32.21,2.86,0.95,0.95,2.0,2021-08-14 17:13:08,60.0
0.29,0.15,0.99,1042.3,25.72,-18.27,-38.83,125.15,44.72,4.0,3.3,351.46,991.0,4836.31,3531.89,0.01,46.17,-8.53,36.17,0.01,0.0,0.0,2.0,2021-08-14 17:20:08,60.0
0.99,0.43,2.53,1043.49,26.1,-18.3,-38.84,128.62,51.82,4.02,3.28,349.86,991.99,5464.35,3972.63,0.09,49.33,-2.18,40.69,0.02,0.0,0.0,2.0,2021-08-14 17:26:08,60.0
0.29,-0.21,-0.4,1144.31,25.72,-18.34,-38.87,12.63,44.8,5.89,1.31,337.69,991.05,35167.96,25611.04,6.14,41.79,5.97,45.41,1.03,0.0,0.0,2.0,2021-08-14 17:33:08,60.0
0.02,0.14,-0.27,1044.63,25.49,-18.37,-38.9,4.49,44.9,4.13,1.2,290.49,991.0,4530.9,3335.91,-0.01,41.12,2.4,50.0,0.03,0.0,0.0,2.0,2021-08-14 17:40:08,60.0
0.25,0.1,1.01,1043.96,25.41,-18.39,-38.94,-26.5,47.32,4.77,1.21,242.83,991.0,4485.98,3316.68,-0.01,37.14,-8.9,54.05,0.03,0.0,0.0,2.0,2021-08-14 17:47:08,60.0
-0.05,0.04,0.52,1170.25,24.88,-18.39,-38.96,3.39,44.83,5.11,1.2,276.89,991.0,6267.59,4442.09,0.0,37.42,23.43,54.49,1.29,0.0,0.0,2.0,2021-08-14 17:53:08,60.0
0.1,-0.44,-2.0,1089.02,23.22,-18.37,-38.98,21.29,32.82,4.0,1.22,241.32,990.0,5318.28,3798.93,0.02,32.65,89.22,53.87,0.48,0.11,0.11,2.0,2021-08-14 18:00:08,60.0
-0.47,-0.67,1.98,1062.02,22.94,-18.38,-38.97,35.6,40.96,3.0,2.35,285.73,990.0,5199.81,3712.66,-0.03,7.04,-65.57,53.99,0.21,0.0,0.0,2.0,2021-08-14 18:07:08,60.0
