ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.0,0.0,1.0,1025.14,21.4,-17.97,-38.71,-2.0,37.0,5.0,2.3,275.0,990.0,3553.04,2974.84,0.02,36.13,16.16,1.59,0.03,0.0,0.0,7.0,2021-08-16 08:13:01,
0.06,0.12,0.94,1025.54,22.5,-18.03,-38.75,-8.13,37.0,5.0,2.2,406.18,991.0,5321.56,4046.32,0.0,30.54,4.25,9.32,0.04,0.0,0.0,7.0,2021-08-16 08:26:01,60.0
0.06,0.14,1.22,1025.73,22.9,-18.09,-38.8,-0.47,33.61,4.98,2.2,368.25,991.0,3908.05,3169.11,0.0,42.24,-2.09,17.54,0.04,0.0,0.0,7.0,2021-08-16 08:40:01,60.0
-0.06,0.06,1.18,1025.36,21.4,-18.14,-38.86,0.0,48.14,5.0,2.2,429.78,990.0,3778.63,3086.4,-0.02,47.14,7.19,25.14,0.04,0.0,0.0,7.0,2021-08-16 08:54:01,60.0
0.06,0.12,1.06,1024.94,21.3,-18.15,-38.95,-17.93,48.08,4.0,2.3,302.9,990.02,3682.26,3086.7,0.0,44.4,3.37,33.16,0.03,0.0,0.0,7.0,2021-08-16 09:07:01,60.0
0.0,0.19,1.25,1027.51,22.5,-18.18,-39.04,-6.1,51.71,3.0,2.3,267.48,991.0,3811.76,3084.45,-0.02,38.93,-21.54,42.89,0.06,0.0,0.0,7.0,2021-08-16 09:21:01,60.0
0.19,0.12,0.94,1030.77,22.8,-18.25,-39.09,-20.0,44.4,5.0,2.1,457.0,991.0,3784.67,3114.51,0.0,50.24,13.83,51.73,0.09,0.0,0.0,7.0,2021-08-16 09:35:01,60.0
0.0,-0.19,0.62,1024.45,23.0,-18.29,-39.14,-34.0,29.6,5.0,2.1,448.0,991.0,4525.98,3497.43,0.02,39.67,-36.41,58.71,0.03,0.0,0.0,7.0,2021-08-16 09:48:01,60.0
0.15,0.17,0.98,1156.3,21.72,-18.29,-39.14,-0.77,28.17,5.0,1.82,392.62,990.31,16357.98,12520.51,2.7,28.32,24.3,58.38,1.34,0.31,0.31,7.0,2021-08-16 10:02:01,60.0
-0.06,0.25,0.94,1023.32,22.4,-18.3,-39.15,37.67,18.68,3.03,1.99,335.38,991.0,4948.67,3760.49,0.02,4.18,-165.29,59.52,0.02,0.0,0.0,7.0,2021-08-16 10:16:01,60.0
