ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.12,0.19,1.06,1041.67,22.8,-17.98,-38.71,-2.0,51.9,4.0,1.4,188.0,991.0,4208.18,3123.48,0.0,55.59,-2.53,1.75,0.01,0.0,0.0,1.0,2021-08-13 07:21:00,
0.08,-0.17,1.13,1048.11,24.09,-18.02,-38.76,-6.0,7.1,5.0,1.2,209.09,992.73,9493.65,6616.83,0.84,6.83,3.63,9.09,0.08,0.0,0.0,1.0,2021-08-13 07:31:00,60.0
0.01,-0.06,0.65,1043.38,23.0,-18.08,-38.79,-9.64,48.14,4.0,1.21,216.9,991.0,4795.38,3562.72,0.02,47.33,3.06,15.9,0.03,0.0,0.0,1.0,2021-08-13 07:42:00,60.0
0.38,-0.06,0.93,1047.8,23.7,-18.11,-38.8,-17.63,0.0,3.02,2.28,144.41,992.0,3943.02,2810.7,-0.02,1.58,176.74,19.03,0.07,0.0,0.0,1.0,2021-08-13 07:53:00,60.0
0.38,-0.06,1.3,1048.14,23.32,-18.11,-38.81,-36.27,42.92,3.0,5.1,281.03,992.0,6399.05,4545.34,-0.0,33.68,21.21,19.62,0.08,0.0,0.0,1.0,2021-08-13 08:04:00,60.0
0.37,-0.06,0.87,1046.53,23.5,-18.16,-38.83,14.8,0.0,3.0,5.1,157.97,992.0,3859.68,2841.08,-0.0,0.48,168.18,25.82,0.06,0.0,0.0,1.0,2021-08-13 08:15:00,60.0
0.45,-0.24,1.1,1044.48,23.3,-18.2,-38.84,14.13,40.88,3.0,5.3,192.43,991.1,4749.82,3524.71,0.02,36.23,-2.64,29.94,0.04,0.0,0.0,1.0,2021-08-13 08:26:00,60.0
0.26,-0.05,1.01,1043.98,23.3,-18.25,-38.84,33.76,51.77,3.0,6.3,135.08,991.03,4501.44,3350.61,-0.02,45.5,23.68,34.74,0.04,0.0,0.0,1.0,2021-08-13 08:37:00,60.0
0.86,0.12,2.03,1047.91,22.9,-18.27,-38.87,-12.44,59.68,3.0,8.98,170.17,991.0,5859.78,4149.39,-0.02,38.44,-41.52,38.01,0.07,0.0,0.0,1.0,2021-08-13 08:48:00,60.0
0.35,-0.1,1.16,1046.96,23.36,-18.25,-38.93,115.72,45.9,3.4,7.79,219.34,991.79,15574.95,11616.02,2.56,42.25,-3.17,40.09,0.07,0.0,0.0,1.0,2021-08-13 08:59:00,60.0
