ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.56,0.06,0.06,1043.75,25.9,-17.98,-38.71,2.0,40.7,3.0,1.2,289.0,993.0,5435.5,3794.09,-0.02,38.77,-0.28,1.54,0.03,0.0,0.0,3.0,2021-08-15 18:39:02,
0.37,0.25,0.99,1043.84,25.3,-17.99,-38.71,-25.43,44.4,3.03,3.16,349.02,991.0,4730.77,3357.65,-0.02,41.06,3.77,2.92,0.03,0.0,0.0,3.0,2021-08-15 18:41:02,60.0
0.25,0.06,1.06,1044.21,24.9,-18.01,-38.72,-5.87,48.08,4.07,1.19,344.23,991.0,4638.12,3316.65,-0.02,45.57,-3.56,5.18,0.03,0.0,0.0,3.0,2021-08-15 18:44:02,60.0
0.39,-0.06,-0.26,1043.99,24.6,-18.03,-38.73,11.6,48.14,6.0,1.0,345.92,991.0,5061.67,3574.66,0.0,41.14,-9.37,7.35,0.03,0.0,0.0,3.0,2021-08-15 18:47:02,60.0
0.24,-0.13,1.28,1044.15,24.4,-18.05,-38.74,5.73,48.14,4.97,1.0,347.51,991.0,4846.96,3451.23,-0.0,47.21,-12.73,9.69,0.03,0.0,0.0,3.0,2021-08-15 18:50:02,60.0
-0.05,-0.48,-0.92,1044.11,24.4,-18.07,-38.74,7.73,44.77,3.03,1.2,338.5,991.0,4657.27,3334.45,-0.02,47.58,-3.94,12.12,0.03,0.0,0.0,3.0,2021-08-15 18:53:02,60.0
0.68,0.12,1.0,1044.27,24.4,-18.08,-38.75,-1.59,48.2,4.02,1.1,338.32,991.0,4710.71,3370.48,0.02,52.83,-6.09,13.84,0.03,0.0,0.0,3.0,2021-08-15 18:55:02,60.0
-0.05,0.36,0.16,1043.62,24.5,-18.1,-38.76,-1.93,51.9,5.03,1.1,359.87,991.0,4492.79,3241.0,0.0,54.77,-6.3,16.34,0.02,0.0,0.0,3.0,2021-08-15 18:58:02,60.0
0.18,0.06,0.81,1043.36,24.6,-18.12,-38.78,9.13,48.32,3.97,1.11,354.13,991.0,4522.55,3248.69,0.0,48.8,4.79,18.88,0.02,0.0,0.0,3.0,2021-08-15 19:01:02,60.0
0.03,0.15,0.38,1043.63,24.7,-18.13,-38.79,-4.13,55.35,3.97,1.24,342.33,991.0,4594.54,3296.58,0.0,50.67,4.51,21.25,0.02,0.0,0.0,3.0,2021-08-15 19:04:02,60.0
0.0,0.0,-0.17,1043.77,24.8,-18.15,-38.81,7.8,44.53,4.0,1.3,349.05,991.0,4788.79,3442.39,0.02,42.56,-3.33,23.17,0.03,0.0,0.0,3.0,2021-08-15 19:07:02,60.0
0.18,0.18,0.78,1044.04,24.8,-18.15,-38.82,2.34,37.13,4.98,1.12,361.54,991.0,4537.08,3337.89,0.02,40.52,-6.07,24.39,0.03,0.0,0.0,3.0,2021-08-15 19:09:02,60.0
0.97,0.49,2.74,1043.9,25.0,-18.16,-38.84,-13.74,37.12,5.0,1.1,358.77,991.0,4479.59,3287.76,0.0,40.95,-1.17,26.22,0.03,0.0,0.0,3.0,2021-08-15 19:12:02,60.0
0.19,0.19,0.94,1044.03,25.1,-18.17,-38.86,15.47,55.23,4.03,1.29,357.0,991.0,4452.63,3275.07,0.0,45.31,-0.26,28.02,0.03,0.0,0.0,3.0,2021-08-15 19:15:02,60.0
0.74,0.31,1.55,1043.68,25.1,-18.18,-38.87,8.2,44.28,4.0,1.3,303.33,991.0,4551.09,3340.89,0.0,44.41,5.42,30.17,0.02,0.0,0.0,3.0,2021-08-15 19:18:02,60.0
0.07,0.11,0.65,1043.93,25.1,-18.2,-38.88,8.0,47.83,4.0,1.3,329.97,991.0,4482.28,3270.5,-0.02,42.37,-16.71,32.34,0.03,0.0,0.0,3.0,2021-08-15 19:21:02,60.0
0.5,0.0,1.19,1042.25,25.3,-18.21,-38.88,-0.03,33.36,4.97,1.12,353.66,991.0,4712.87,3440.05,0.02,40.6,-17.0,33.75,0.01,0.0,0.0,3.0,2021-08-15 19:24:02,60.0
0.22,0.01,1.0,1044.04,25.5,-18.22,-38.89,-2.2,44.4,4.0,1.3,360.87,991.0,4495.04,3285.46,0.0,45.81,48.84,35.02,0.03,0.0,0.0,3.0,2021-08-15 19:26:02,60.0
0.25,0.18,1.0,1043.95,25.6,-18.23,-38.91,-0.14,44.27,4.98,1.11,354.56,991.02,4678.89,3405.18,0.02,40.19,5.73,36.86,0.03,0.0,0.0,3.0,2021-08-15 19:29:02,60.0
0.37,-0.05,1.25,1044.02,25.5,-18.23,-38.93,-3.54,58.81,3.03,2.4,335.39,991.0,4677.96,3398.94,0.0,46.04,4.22,38.42,0.03,0.0,0.0,3.0,2021-08-15 19:32:02,60.0
0.79,0.49,1.18,1044.0,25.4,-18.24,-38.95,2.07,40.82,5.0,1.2,365.97,992.0,4379.93,3195.09,-0.02,50.26,7.49,40.16,0.03,0.0,0.0,3.0,2021-08-15 19:35:02,60.0
-0.06,-0.06,-0.5,1040.71,25.1,-18.24,-38.97,32.0,44.4,5.0,1.2,362.0,991.0,5023.35,3613.62,0.02,46.38,12.51,41.92,-0.0,0.0,0.0,3.0,2021-08-15 19:38:02,60.0
0.38,0.25,1.31,1039.82,25.2,-18.25,-38.98,16.0,40.7,5.0,2.3,362.0,991.0,4936.08,3560.47,0.02,35.66,-50.01,43.11,-0.01,0.0,0.0,3.0,2021-08-15 19:40:02,60.0
0.25,0.12,0.94,1039.15,25.6,-18.26,-38.97,21.77,51.9,4.0,2.0,326.85,991.0,4506.49,3266.57,-0.03,33.45,-82.28,43.45,-0.02,0.0,0.0,3.0,2021-08-15 19:43:02,60.0
