ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.12,-0.06,0.94,1043.8,23.7,-17.96,-38.69,12.0,37.0,5.0,1.1,285.0,993.0,3543.11,2929.26,0.0,37.19,21.89,1.27,0.02,0.0,0.0,3.0,2021-08-18 08:34:00,
0.25,-0.06,1.37,1045.51,24.0,-17.96,-38.69,17.9,29.91,4.02,2.38,281.93,992.0,4065.13,3168.64,0.0,36.5,-34.95,1.96,0.04,0.0,0.0,3.0,2021-08-18 08:39:00,60.0
0.68,-0.49,1.73,1048.92,23.91,-17.94,-38.68,-6.1,22.08,6.0,1.1,292.27,993.0,5967.42,4198.79,0.0,10.17,-13.21,4.01,0.07,0.0,0.0,3.0,2021-08-18 08:44:00,60.0
-0.06,0.0,-0.62,1044.87,23.5,-17.93,-38.65,12.0,33.3,5.0,1.2,311.0,992.0,4056.02,3157.68,0.0,35.02,22.73,7.08,0.03,0.0,0.0,3.0,2021-08-18 08:50:00,60.0
0.06,0.0,0.81,1044.29,24.1,-17.91,-38.63,14.0,37.0,5.0,1.2,313.0,993.0,3937.1,3085.46,0.0,34.88,6.84,9.7,0.02,0.0,0.0,3.0,2021-08-18 08:55:00,60.0
0.07,0.37,0.21,1043.52,23.3,-17.9,-38.62,1.8,33.42,6.0,1.0,283.59,992.02,4238.17,3228.75,0.02,36.23,6.75,11.0,0.02,0.0,0.0,3.0,2021-08-18 09:01:00,60.0
0.5,-0.25,2.19,1042.81,23.4,-17.88,-38.6,16.0,37.0,5.0,1.2,224.0,992.0,3976.2,3121.5,0.0,40.14,5.06,14.08,0.01,0.0,0.0,3.0,2021-08-18 09:06:00,60.0
0.56,-0.31,2.44,1044.34,25.1,-17.88,-38.57,-10.0,40.7,4.0,1.3,251.0,993.0,4114.8,3141.23,0.0,40.97,10.82,17.3,0.02,0.0,0.0,3.0,2021-08-18 09:12:00,60.0
0.19,-0.12,0.94,1042.35,24.7,-17.87,-38.54,-16.0,37.0,7.0,0.4,291.0,994.0,4180.03,3240.72,0.0,33.82,-10.27,19.83,0.0,0.0,0.0,3.0,2021-08-18 09:17:00,60.0
0.06,-0.12,1.06,1041.87,24.9,-17.87,-38.51,-12.0,40.7,6.0,1.1,257.0,993.0,4041.83,3135.13,0.0,38.3,-26.77,23.23,-0.0,0.0,0.0,3.0,2021-08-18 09:23:00,60.0
0.19,-0.07,1.18,1041.52,25.0,-17.87,-38.48,0.2,40.64,6.0,1.0,312.93,993.0,4057.62,3148.57,0.0,34.03,4.98,26.13,-0.0,0.0,0.0,3.0,2021-08-18 09:28:00,60.0
-0.06,0.25,0.31,1042.9,25.1,-17.87,-38.44,86.0,40.7,3.0,1.3,286.0,993.0,4089.46,3143.63,-0.02,36.66,11.21,29.47,0.01,0.0,0.0,3.0,2021-08-18 09:34:00,60.0
-0.19,0.5,0.5,1042.19,25.2,-17.87,-38.42,-24.0,37.0,3.0,2.2,235.0,993.0,4148.79,3199.46,0.0,41.0,-2.97,32.18,0.0,0.0,0.0,3.0,2021-08-18 09:39:00,60.0
0.07,-0.12,0.78,1043.19,25.9,-17.88,-38.39,-1.73,26.02,5.0,1.1,275.7,994.0,4272.55,3227.96,0.0,35.03,-26.91,34.99,0.01,0.0,0.0,3.0,2021-08-18 09:45:00,60.0
0.19,-0.12,1.25,1043.71,25.7,-17.89,-38.36,24.0,29.6,4.0,1.3,286.0,994.0,4330.58,3268.53,0.0,32.66,-10.94,37.15,0.02,0.0,0.0,3.0,2021-08-18 09:50:00,60.0
