ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.38,0.38,1.19,995.88,23.1,-17.96,-38.69,10.0,44.4,7.0,1.2,289.0,990.0,7134.05,4942.75,-0.02,31.83,39.78,1.43,-0.01,0.0,0.0,6.0,2021-08-15 09:05:00,
0.31,0.38,0.94,980.4,23.7,-17.92,-38.65,2.0,44.4,6.0,1.1,304.0,990.0,4838.88,3429.59,0.0,44.69,0.43,7.92,-0.16,0.0,0.0,6.0,2021-08-15 09:14:00,60.0
-0.06,-0.06,-0.05,978.0,24.2,-17.89,-38.6,-82.68,40.76,3.03,1.2,283.47,990.98,4906.48,3481.87,-0.02,41.29,66.42,14.11,-0.19,0.0,0.0,6.0,2021-08-15 09:24:00,60.0
0.13,0.01,0.82,979.3,24.7,-17.85,-38.54,4.2,44.52,6.93,1.0,306.02,990.0,4760.17,3378.75,0.02,48.02,4.06,21.07,-0.17,0.0,0.0,6.0,2021-08-15 09:34:00,60.0
0.31,0.17,0.93,980.91,24.31,-17.82,-38.52,-3.9,40.45,5.0,1.1,280.18,990.0,5906.8,4064.07,0.0,37.45,-9.12,25.79,-0.16,0.0,0.0,6.0,2021-08-15 09:43:00,60.0
-0.25,-0.44,-0.19,981.81,23.9,-17.76,-38.48,14.0,44.4,5.0,1.1,258.0,990.0,4665.57,3271.84,-0.02,39.22,-6.82,32.62,-0.15,0.0,0.0,6.0,2021-08-15 09:53:00,60.0
0.31,-0.01,1.0,981.6,25.09,-17.7,-38.47,-7.7,40.7,4.62,1.66,311.13,990.38,16641.46,11708.84,2.61,41.74,-6.17,38.08,-0.15,0.0,0.0,6.0,2021-08-15 10:03:00,60.0
0.37,0.25,1.0,980.02,26.7,-17.66,-38.5,-27.4,48.14,4.0,2.3,337.12,991.0,4628.67,3256.97,-0.0,44.03,-9.64,40.06,-0.17,0.0,0.0,6.0,2021-08-15 10:12:00,60.0
0.38,0.19,1.0,979.32,27.5,-17.63,-38.57,-2.44,44.46,4.0,2.0,334.27,991.0,4492.77,3173.44,-0.02,44.05,8.01,40.02,-0.17,0.0,0.0,6.0,2021-08-15 10:22:00,60.0
0.07,-0.07,-0.79,988.93,27.7,-17.6,-38.63,-38.93,48.14,3.0,2.1,253.77,991.0,4455.06,3186.36,-0.0,45.63,17.58,41.16,-0.08,0.0,0.0,6.0,2021-08-15 10:32:00,60.0
