ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,0.06,0.88,1019.85,22.4,-17.97,-38.69,68.0,33.3,5.0,1.1,221.0,995.0,3909.98,3011.49,0.0,34.41,29.59,1.02,-0.03,0.0,0.0,2.0,2021-08-16 08:17:00,
0.31,-0.12,1.06,1023.71,23.5,-18.02,-38.7,-8.07,37.0,4.02,1.3,186.97,995.0,4090.79,3106.82,-0.02,39.15,2.39,6.8,0.01,0.0,0.0,2.0,2021-08-16 08:29:00,60.0
0.19,0.06,1.0,1023.82,22.8,-18.09,-38.72,-14.17,40.76,5.0,1.3,244.93,995.0,4248.03,3230.5,-0.02,43.92,1.5,14.7,0.01,0.0,0.0,2.0,2021-08-16 08:42:00,60.0
0.22,0.25,1.04,1035.91,22.7,-18.15,-38.74,-69.57,48.31,3.98,1.86,273.34,995.0,17163.8,12279.68,2.5,26.26,28.18,21.37,0.13,0.0,0.0,2.0,2021-08-16 08:54:00,60.0
0.19,-0.5,0.62,1024.62,22.9,-18.21,-38.79,10.0,48.2,4.0,1.2,239.0,995.0,4172.69,3230.92,0.0,46.94,-8.24,29.19,0.02,0.0,0.0,2.0,2021-08-16 09:07:00,60.0
0.06,0.43,0.94,1024.44,23.6,-18.28,-38.82,7.3,37.06,3.98,1.12,235.62,995.0,4412.94,3308.55,0.0,37.52,-1.22,37.83,0.02,0.0,0.0,2.0,2021-08-16 09:19:00,60.0
-0.12,-0.74,0.14,1024.92,24.4,-18.36,-38.85,-25.3,37.19,3.0,2.38,183.82,995.0,4158.9,3164.98,0.0,43.56,7.87,46.65,0.02,0.0,0.0,2.0,2021-08-16 09:32:00,60.0
-0.24,-0.06,0.51,1025.12,26.0,-18.43,-38.88,-17.7,40.89,4.0,1.2,243.75,996.0,4263.63,3240.32,0.0,49.02,-2.51,55.38,0.02,0.0,0.0,2.0,2021-08-16 09:45:00,60.0
0.06,0.42,0.88,1025.34,24.6,-18.49,-38.94,-24.03,37.73,3.95,1.2,296.49,996.0,4402.31,3329.74,0.02,42.48,-23.75,63.38,0.02,0.0,0.0,2.0,2021-08-16 09:57:00,60.0
0.18,-0.0,-0.3,1025.73,27.01,-18.56,-38.97,2.11,47.57,2.06,4.08,300.94,997.0,6195.62,4654.77,0.41,44.86,2.97,72.58,0.03,0.0,0.0,2.0,2021-08-16 10:10:00,60.0
0.07,-0.0,0.82,1022.91,24.9,-18.63,-39.01,-1.74,48.08,3.0,2.0,323.11,996.0,4357.32,3311.34,0.02,46.78,2.83,80.64,0.0,0.0,0.0,2.0,2021-08-16 10:22:00,60.0
0.85,0.19,2.58,1273.26,23.9,-18.67,-39.03,27.94,29.6,3.0,2.1,298.06,996.0,5220.44,3860.9,0.03,9.04,61.75,85.61,2.49,0.95,0.95,2.0,2021-08-16 10:35:00,60.0
0.3,-0.01,1.02,1029.23,23.9,-18.7,-39.05,64.83,47.56,3.0,1.3,296.0,995.0,5563.6,4034.72,-0.03,26.33,-22.79,90.0,0.06,0.02,0.02,2.0,2021-08-16 10:48:00,60.0
0.56,-0.05,1.86,1024.02,25.19,-18.76,-39.08,7.66,40.76,3.0,1.2,294.1,996.0,4178.64,3166.46,-0.02,42.82,1.99,96.68,0.01,0.0,0.0,2.0,2021-08-16 11:00:00,60.0
0.12,-0.12,1.14,1023.33,26.4,-18.81,-39.15,16.13,55.48,3.0,1.1,328.83,996.0,4308.77,3297.85,0.0,57.56,-4.25,105.7,0.0,0.0,0.0,2.0,2021-08-16 11:13:00,60.0
-0.06,0.07,0.44,1022.49,26.3,-18.81,-39.26,63.9,62.94,2.0,2.4,244.83,996.02,4264.0,3295.88,-0.0,63.76,5.11,111.39,-0.0,0.0,0.0,2.0,2021-08-16 11:25:00,60.0
0.49,1.21,1.24,1024.28,26.4,-18.8,-39.37,185.93,34.04,2.03,1.23,299.53,996.97,4520.42,3422.58,-0.0,56.99,8.72,116.86,0.01,0.0,0.0,2.0,2021-08-16 11:38:00,60.0
0.18,0.12,1.04,1023.09,24.8,-18.81,-39.44,27.73,59.24,5.0,1.0,268.93,995.0,4425.5,3403.7,0.0,59.32,-8.43,122.28,0.0,0.0,0.0,2.0,2021-08-16 11:51:00,60.0
0.18,-0.25,0.94,1027.42,25.3,-18.84,-39.51,8.0,0.0,3.02,3.17,214.54,996.0,3517.86,2864.03,-0.02,2.69,3.2,130.0,0.05,0.0,0.0,2.0,2021-08-16 12:03:00,60.0
0.33,-0.01,-0.63,1025.67,25.69,-18.91,-39.54,-7.38,40.57,3.0,2.4,269.69,996.0,4571.92,3418.77,-0.03,45.45,55.76,137.27,0.03,0.0,0.0,2.0,2021-08-16 12:16:00,60.0
0.74,0.13,2.09,1029.98,24.5,-18.93,-39.55,16.2,55.35,3.0,2.2,237.59,995.0,5132.55,3852.66,-0.02,38.35,12.63,140.39,0.07,0.02,0.02,2.0,2021-08-16 12:28:00,60.0
-0.05,0.12,0.65,1024.15,25.4,-18.97,-39.58,22.6,44.15,3.0,2.1,298.83,996.0,4199.08,3195.1,0.0,35.98,-2.98,145.78,0.01,0.0,0.0,2.0,2021-08-16 12:41:00,60.0
0.31,0.25,1.19,1026.86,24.7,-18.97,-39.57,14.0,37.0,3.0,2.1,271.0,996.0,4769.55,3594.87,-0.05,14.32,104.1,144.47,0.04,0.0,0.0,2.0,2021-08-16 12:54:00,60.0
1.47,1.07,0.06,1026.99,24.41,-18.95,-39.54,2.26,0.0,2.0,2.3,217.06,995.0,4831.71,3595.1,0.03,1.24,135.91,140.28,0.04,0.0,0.0,2.0,2021-08-16 13:06:00,60.0
0.12,0.06,0.99,1027.17,25.31,-18.95,-39.54,-4.16,0.0,2.04,2.29,199.9,996.0,3140.33,2460.1,-0.14,0.92,134.02,140.35,0.04,0.0,0.0,2.0,2021-08-16 13:19:00,60.0
0.18,0.0,1.12,1027.08,25.9,-18.95,-39.54,2.26,0.0,4.03,1.39,267.06,996.0,3592.65,2973.86,0.03,0.58,12.0,140.42,0.04,0.0,0.0,2.0,2021-08-16 13:31:00,60.0
0.31,-0.12,1.31,1024.09,24.5,-18.92,-39.55,42.0,48.2,4.0,1.3,246.0,996.0,4125.46,3234.3,-0.02,45.97,67.28,139.07,0.01,0.0,0.0,2.0,2021-08-16 13:44:00,60.0
0.62,0.25,2.38,1027.74,23.9,-18.92,-39.54,20.0,33.3,4.0,1.2,253.0,995.0,5526.42,4083.77,0.0,14.07,-155.53,138.4,0.05,0.0,0.0,2.0,2021-08-16 13:56:00,60.0
0.25,0.06,1.0,1026.7,25.4,-18.87,-39.53,0.0,37.0,3.0,2.0,278.0,996.0,4484.81,3481.54,0.0,5.06,141.4,132.93,0.04,0.0,0.0,2.0,2021-08-16 14:09:00,60.0
0.62,0.13,1.19,1024.05,25.5,-18.84,-39.52,16.7,48.32,3.98,1.2,286.35,996.0,4829.33,3628.66,0.0,23.41,-95.01,129.53,0.01,0.0,0.0,2.0,2021-08-16 14:22:00,60.0
-0.03,0.01,0.78,1172.17,25.65,-18.82,-39.53,2.84,1.95,4.0,1.11,218.53,995.11,26785.44,20855.06,5.05,7.81,75.87,129.47,1.49,0.95,0.95,2.0,2021-08-16 14:34:00,60.0
