ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,0.5,1.63,1079.48,23.7,-17.97,-38.73,2.0,51.9,3.0,15.3,341.0,995.0,34736.31,25076.61,6.22,26.98,94.54,3.16,0.31,0.0,0.0,1.0,2021-08-15 19:38:15,
0.11,0.22,1.01,1041.28,23.38,-17.96,-38.74,-4.87,59.3,3.0,16.09,283.73,994.22,3712.85,2758.36,-0.17,57.1,24.77,4.0,-0.07,0.0,0.0,1.0,2021-08-15 19:39:15,60.0
0.4,0.48,1.06,1040.83,23.06,-17.95,-38.75,26.53,48.86,3.0,17.62,276.72,994.0,5180.61,3813.1,0.0,49.65,-0.74,5.35,-0.07,0.0,0.0,1.0,2021-08-15 19:41:15,60.0
0.33,-0.18,-0.58,1039.74,22.9,-17.95,-38.76,18.77,20.74,3.0,18.62,303.38,994.0,4850.04,3570.86,0.0,35.34,-40.21,5.93,-0.08,0.0,0.0,1.0,2021-08-15 19:42:15,60.0
0.21,0.33,1.23,1041.5,22.82,-17.95,-38.77,28.89,51.9,3.0,21.36,293.31,994.21,4319.58,3240.08,0.0,48.02,6.73,7.46,-0.07,0.0,0.0,1.0,2021-08-15 19:44:15,60.0
-0.09,0.07,0.24,1042.92,23.02,-17.95,-38.79,29.64,29.32,3.0,24.63,276.03,994.21,4482.58,3340.31,-0.01,49.63,7.61,9.13,-0.05,0.0,0.0,1.0,2021-08-15 19:46:15,60.0
-0.33,0.3,0.53,1043.25,23.12,-17.95,-38.8,-12.52,54.88,3.0,26.63,296.0,994.81,4558.97,3402.41,0.02,57.24,-28.18,10.02,-0.05,0.0,0.0,1.0,2021-08-15 19:47:15,60.0
0.13,0.31,0.94,1043.47,23.33,-17.95,-38.81,0.06,55.17,4.0,1.33,242.88,994.03,5133.62,3827.48,0.14,53.99,2.61,11.66,-0.05,0.0,0.0,1.0,2021-08-15 19:49:15,60.0
0.16,0.28,0.99,1043.85,23.55,-17.95,-38.82,0.55,51.49,4.0,1.55,267.57,994.28,13425.4,9979.75,1.91,50.63,-5.04,12.92,-0.04,0.0,0.0,1.0,2021-08-15 19:51:15,60.0
0.17,0.26,1.01,1044.04,23.66,-17.95,-38.83,0.8,49.65,4.0,1.66,279.92,994.4,17571.29,13055.88,2.79,48.95,-8.86,13.55,-0.04,0.0,0.0,1.0,2021-08-15 19:52:15,60.0
0.21,0.23,1.06,1044.42,23.88,-17.96,-38.84,1.29,45.97,4.0,1.88,304.61,994.65,25863.06,19208.16,4.56,45.59,-16.51,14.81,-0.04,0.0,0.0,1.0,2021-08-15 19:54:15,60.0
0.24,0.2,1.1,1044.81,24.1,-17.96,-38.86,1.79,42.29,4.0,2.1,329.3,994.89,34154.83,25360.43,6.33,42.23,-24.16,16.07,-0.03,0.0,0.0,1.0,2021-08-15 19:56:15,60.0
0.26,0.2,1.15,1044.97,24.17,-17.96,-38.86,1.72,41.22,4.0,2.2,335.23,995.0,33039.38,24533.24,6.1,40.99,-31.2,16.64,-0.03,0.0,0.0,1.0,2021-08-15 19:57:15,60.0
-0.02,0.22,1.0,1045.11,24.12,-17.97,-38.87,-4.33,49.33,4.0,2.2,267.9,993.46,4329.53,3217.63,-0.03,43.45,10.98,17.34,-0.03,0.0,0.0,1.0,2021-08-15 19:59:15,60.0
-0.29,-0.2,-0.75,1045.09,24.3,-17.98,-38.88,3.73,43.13,4.0,2.2,263.42,995.0,4895.9,3603.76,0.0,41.19,36.81,18.48,-0.03,0.0,0.0,1.0,2021-08-15 20:01:15,60.0
-0.09,0.16,0.75,1044.56,24.3,-17.98,-38.88,9.56,51.9,4.0,2.18,278.15,995.0,5031.78,3689.51,-0.0,44.42,0.92,19.22,-0.04,0.0,0.0,1.0,2021-08-15 20:02:15,60.0
0.08,-0.04,-0.05,1045.6,24.4,-17.98,-38.9,28.7,52.37,3.22,10.8,301.22,995.0,4813.56,3558.76,0.01,46.52,-2.02,20.78,-0.03,0.0,0.0,1.0,2021-08-15 20:04:15,60.0
0.17,0.2,0.83,1044.48,24.38,-17.99,-38.91,16.79,46.12,3.77,2.12,274.54,995.0,5176.84,3778.14,-0.01,36.7,0.02,22.17,-0.04,0.0,0.0,1.0,2021-08-15 20:06:15,60.0
0.0,-0.27,-0.12,1044.84,24.3,-17.99,-38.91,4.24,47.8,3.0,2.2,307.66,995.0,6004.5,4364.56,0.01,17.65,8.48,22.45,-0.03,0.0,0.0,1.0,2021-08-15 20:07:15,60.0
-0.18,-0.25,0.54,1045.55,24.21,-17.99,-38.91,-39.02,72.97,3.0,16.06,287.07,995.0,5608.86,4107.13,0.04,28.46,-94.72,22.43,-0.03,0.0,0.0,1.0,2021-08-15 20:09:15,60.0
0.35,-0.37,-0.94,1045.48,23.64,-17.99,-38.92,-64.68,30.02,2.87,15.44,298.72,995.0,4781.89,3502.54,0.07,7.65,123.03,22.5,-0.03,0.0,0.0,1.0,2021-08-15 20:11:15,60.0
0.19,-0.31,0.7,1049.02,23.89,-17.99,-38.92,-29.18,8.13,2.03,3.69,223.51,995.0,4875.86,3400.13,0.18,5.18,151.4,22.57,0.01,0.0,0.0,1.0,2021-08-15 20:12:15,60.0
-0.19,0.06,0.76,1046.94,23.2,-18.0,-38.91,-49.67,37.67,3.0,19.36,292.2,994.18,4652.07,3470.65,0.02,38.41,7.88,22.04,-0.01,0.0,0.0,1.0,2021-08-15 20:14:15,60.0
-0.01,0.04,0.08,1047.02,23.34,-18.01,-38.91,-102.23,44.4,3.0,21.2,302.1,994.2,4264.83,3211.87,-0.02,44.34,27.45,22.37,-0.01,0.0,0.0,1.0,2021-08-15 20:16:15,60.0
0.06,0.28,0.95,1047.03,23.54,-18.01,-38.91,-46.36,43.73,2.82,18.63,313.11,995.0,4510.14,3377.87,0.02,43.61,-37.39,22.3,-0.01,0.0,0.0,1.0,2021-08-15 20:17:15,60.0
0.13,0.29,1.03,1047.27,24.1,-18.03,-38.91,-14.59,40.7,3.59,3.06,323.18,995.0,6029.08,4522.7,0.37,40.4,13.27,22.47,-0.01,0.0,0.0,1.0,2021-08-15 20:19:15,60.0
0.1,0.15,0.81,1047.23,24.08,-18.03,-38.91,-5.22,43.65,4.0,3.0,280.31,995.0,2637.26,1979.02,-0.4,41.42,11.97,22.77,-0.01,0.0,0.0,1.0,2021-08-15 20:20:15,60.0
0.72,0.47,2.44,1047.14,24.0,-18.04,-38.91,-12.0,40.7,3.78,3.02,303.05,995.0,4446.76,3322.96,-0.0,42.82,7.26,23.63,-0.01,0.0,0.0,1.0,2021-08-15 20:22:15,60.0
0.05,0.24,1.04,1046.41,23.88,-18.05,-38.91,21.93,36.2,3.0,3.1,255.47,995.0,4924.94,3642.79,0.01,35.54,-45.28,23.92,-0.02,0.0,0.0,1.0,2021-08-15 20:24:15,60.0
0.0,0.2,0.78,1045.2,23.78,-18.06,-38.91,0.0,34.1,3.0,3.1,303.08,995.0,4681.19,3480.41,0.0,37.72,-12.47,23.74,-0.03,0.0,0.0,1.0,2021-08-15 20:25:15,60.0
0.06,0.55,0.66,1088.09,23.62,-18.07,-38.9,-0.47,39.19,3.0,3.1,276.63,995.0,4757.99,3503.03,0.01,33.79,-20.54,23.79,0.4,0.2,0.2,1.0,2021-08-15 20:27:15,60.0
