ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.12,-0.06,1.06,1032.35,21.7,-17.97,-38.71,2.0,55.6,6.0,1.1,253.0,991.0,4195.35,3259.47,0.0,57.37,-11.38,1.27,0.03,0.0,0.0,1.0,2021-08-12 07:04:00,
0.31,-0.12,1.25,1037.4,22.7,-17.98,-38.72,-32.0,48.2,5.0,1.1,236.0,991.0,6488.49,4732.61,0.0,48.24,-6.73,2.7,0.08,0.0,0.0,1.0,2021-08-12 07:08:00,60.0
0.06,0.0,0.88,1032.77,22.7,-18.0,-38.74,-6.0,44.4,6.0,1.1,243.0,991.0,4780.23,3580.04,0.0,46.12,-7.14,5.66,0.04,0.0,0.0,1.0,2021-08-12 07:12:00,60.0
-0.06,0.0,-0.81,1032.14,22.9,-18.02,-38.77,26.0,51.9,4.0,1.2,209.0,991.0,4347.66,3353.43,0.0,56.26,-2.94,10.05,0.03,0.0,0.0,1.0,2021-08-12 07:17:00,60.0
0.12,-0.06,0.85,1031.31,23.0,-18.04,-38.8,-13.77,55.6,6.95,1.0,243.44,991.0,4567.86,3533.57,0.02,55.03,-3.35,13.66,0.02,0.0,0.0,1.0,2021-08-12 07:21:00,60.0
0.31,0.0,1.69,1031.27,23.3,-18.07,-38.83,0.0,51.9,6.0,1.0,238.0,992.0,4329.46,3363.31,0.0,53.31,3.46,17.36,0.02,0.0,0.0,1.0,2021-08-12 07:25:00,60.0
0.62,-0.31,1.86,1031.22,23.4,-18.09,-38.86,-19.74,55.6,6.93,1.02,240.11,991.0,4743.45,3652.37,0.02,51.7,2.05,21.71,0.02,0.0,0.0,1.0,2021-08-12 07:30:00,60.0
0.06,0.25,1.12,1030.67,23.5,-18.11,-38.89,-6.0,40.7,5.0,1.4,247.0,991.0,4603.71,3534.68,0.0,46.64,-1.47,25.02,0.02,0.0,0.0,1.0,2021-08-12 07:34:00,60.0
0.25,-0.06,0.94,1033.0,23.2,-18.11,-38.89,-0.07,0.0,4.03,1.39,211.67,991.0,3828.73,2842.24,0.0,0.93,3.55,25.51,0.04,0.0,0.0,1.0,2021-08-12 07:38:00,60.0
0.5,-0.06,0.81,1037.38,23.2,-18.11,-38.89,-2.0,0.0,3.0,2.0,174.0,991.0,3835.9,2790.75,-0.02,1.16,71.74,25.52,0.08,0.0,0.0,1.0,2021-08-12 07:43:00,60.0
0.31,-0.06,0.75,1040.37,23.3,-18.11,-38.89,-25.9,0.0,5.95,1.11,223.62,991.0,3958.54,2871.51,0.02,1.05,-78.83,25.55,0.11,0.0,0.0,1.0,2021-08-12 07:47:00,60.0
0.44,-0.06,0.81,1044.45,23.3,-18.11,-38.89,-0.2,0.0,6.0,1.1,219.05,991.0,3951.75,2833.5,0.0,0.46,-69.94,25.56,0.15,0.0,0.0,1.0,2021-08-12 07:52:00,60.0
0.44,0.0,0.88,1046.3,23.3,-18.11,-38.89,-6.0,0.0,5.0,1.2,172.0,991.0,3922.76,2827.62,0.0,1.22,120.24,25.57,0.17,0.0,0.0,1.0,2021-08-12 07:56:00,60.0
-0.06,0.0,1.12,1045.04,22.4,-18.12,-38.91,-4.0,44.4,3.0,2.1,247.0,991.0,4724.18,3665.73,0.0,44.14,-8.88,27.91,0.16,0.0,0.0,1.0,2021-08-12 08:00:00,60.0
0.56,-0.49,1.55,1044.97,22.2,-18.14,-38.93,29.56,40.07,3.0,4.3,208.46,991.0,5540.14,4193.51,-0.02,39.29,-155.26,30.51,0.16,0.0,0.0,1.0,2021-08-12 08:05:00,60.0
0.13,-0.37,0.69,1044.24,22.1,-18.15,-38.95,7.59,33.43,3.02,4.26,182.74,991.0,4153.9,3282.3,-0.03,41.99,-10.41,33.33,0.15,0.0,0.0,1.0,2021-08-12 08:09:00,60.0
0.45,0.13,2.2,1043.88,22.2,-18.17,-38.97,-10.0,33.42,4.0,2.0,187.17,991.0,4103.19,3282.54,-0.0,40.09,-2.31,36.09,0.15,0.0,0.0,1.0,2021-08-12 08:13:00,60.0
0.19,-0.12,1.0,1043.32,22.3,-18.18,-39.0,7.76,37.06,4.0,2.0,173.83,991.0,3969.6,3177.64,-0.02,41.54,-1.22,39.54,0.14,0.0,0.0,1.0,2021-08-12 08:18:00,60.0
0.0,0.06,-1.0,1042.76,22.2,-18.2,-39.02,-22.0,37.0,3.0,2.2,141.0,991.0,4036.78,3220.23,-0.02,42.38,-14.39,42.17,0.14,0.0,0.0,1.0,2021-08-12 08:22:00,60.0
0.13,-0.07,1.01,1043.3,22.3,-18.21,-39.04,-5.9,48.14,4.0,2.0,181.8,991.0,4046.73,3249.09,0.0,37.67,18.89,44.83,0.14,0.0,0.0,1.0,2021-08-12 08:26:00,60.0
0.12,-0.06,1.0,1042.97,22.3,-18.21,-39.07,-4.0,48.2,3.0,2.1,125.0,991.0,4095.09,3252.81,0.0,42.32,5.82,47.87,0.14,0.0,0.0,1.0,2021-08-12 08:31:00,60.0
0.19,-0.19,1.42,1042.68,22.3,-18.21,-39.1,-0.13,41.07,3.97,2.03,190.75,991.0,4037.12,3233.85,0.02,44.62,-4.26,50.36,0.14,0.0,0.0,1.0,2021-08-12 08:35:00,60.0
0.69,0.06,2.13,1043.49,22.4,-18.23,-39.13,8.0,44.4,3.0,2.4,132.0,991.0,4534.08,3542.02,0.0,46.03,-2.42,53.84,0.15,0.0,0.0,1.0,2021-08-12 08:40:00,60.0
1.02,-0.19,1.49,1053.29,22.4,-18.25,-39.15,-20.9,18.98,3.0,4.05,155.16,991.0,6193.08,4560.85,0.03,36.26,-8.69,56.54,0.24,0.0,0.0,1.0,2021-08-12 08:44:00,60.0
0.19,-0.44,1.25,1092.05,21.7,-18.26,-39.16,0.0,74.1,4.0,2.0,156.0,991.0,5659.2,4172.16,0.0,21.37,77.53,58.45,0.63,0.0,0.0,1.0,2021-08-12 08:48:00,60.0
0.25,-0.12,1.31,1043.65,21.5,-18.27,-39.15,-16.0,48.2,3.0,2.3,130.0,991.0,4961.54,3741.67,0.0,33.0,36.02,58.32,0.15,0.0,0.0,1.0,2021-08-12 08:53:00,60.0
0.13,-0.12,0.89,1043.28,21.5,-18.28,-39.16,59.07,55.48,3.0,2.3,150.6,991.0,4270.09,3274.31,0.0,40.72,44.81,60.04,0.14,0.0,0.0,1.0,2021-08-12 08:57:00,60.0
0.93,0.04,-1.81,1078.71,22.39,-18.28,-39.17,33.44,26.63,3.0,2.2,159.07,991.0,6259.76,4606.83,0.02,19.37,125.17,60.78,0.5,0.0,0.0,1.0,2021-08-12 09:01:00,60.0
0.43,-0.06,1.12,1114.83,22.4,-18.29,-39.16,17.43,44.46,3.0,2.2,159.05,991.0,6227.25,4580.03,0.0,22.37,22.71,60.99,0.86,0.0,0.0,1.0,2021-08-12 09:06:00,60.0
0.74,-0.19,1.92,1046.26,22.4,-18.3,-39.16,25.73,43.65,3.0,2.2,162.76,991.0,7661.58,5582.57,-0.02,15.76,-95.17,60.93,0.17,0.0,0.0,1.0,2021-08-12 09:10:00,60.0
0.55,-0.3,1.74,1043.84,22.3,-18.29,-39.15,31.6,59.18,3.0,2.2,162.4,991.0,4816.28,3660.09,0.0,44.21,14.01,60.21,0.15,0.0,0.0,1.0,2021-08-12 09:15:00,60.0
0.62,-0.12,2.04,1045.18,22.7,-18.3,-39.16,0.1,54.66,3.0,2.2,156.42,991.0,5544.39,4152.24,-0.02,18.95,-55.82,60.9,0.16,0.0,0.0,1.0,2021-08-12 09:19:00,60.0
0.93,-0.49,2.4,1325.22,22.99,-18.29,-39.15,28.0,51.84,3.0,2.2,185.52,991.0,5977.25,4339.9,0.02,16.81,-75.89,59.1,2.95,0.98,0.98,1.0,2021-08-12 09:23:00,60.0
1.33,-0.38,3.0,1052.58,23.2,-18.28,-39.15,11.72,21.68,3.0,2.2,151.26,991.0,4869.98,3565.93,-0.27,3.39,-137.33,58.98,0.24,0.0,0.0,1.0,2021-08-12 09:28:00,60.0
0.25,-0.12,1.12,1041.84,22.4,-18.27,-39.14,-20.0,63.0,3.0,2.2,157.0,991.0,4900.52,3612.04,0.0,52.01,17.53,57.22,0.13,0.0,0.0,1.0,2021-08-12 09:32:00,60.0
1.15,2.02,2.01,1043.2,22.79,-18.24,-39.12,12.48,55.6,3.0,2.2,152.9,991.0,4675.85,3490.26,0.03,52.09,-17.53,54.16,0.14,0.0,0.0,1.0,2021-08-12 09:36:00,60.0
0.25,-0.06,1.24,1043.13,22.8,-18.21,-39.1,3.8,59.42,3.0,2.2,189.7,991.0,4807.63,3571.15,0.0,57.73,41.24,49.8,0.14,0.0,0.0,1.0,2021-08-12 09:41:00,60.0
0.43,-0.49,1.41,1043.35,23.1,-18.19,-39.07,-19.86,59.3,3.0,2.2,130.42,991.0,4538.87,3405.66,-0.02,58.55,-7.37,45.88,0.14,0.0,0.0,1.0,2021-08-12 09:45:00,60.0
-0.05,0.06,0.61,1043.43,23.4,-18.16,-39.04,-12.35,52.08,3.0,2.3,179.19,991.0,4840.81,3639.24,0.03,59.98,9.17,42.0,0.14,0.0,0.0,1.0,2021-08-12 09:49:00,60.0
