ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.31,0.0,0.88,1033.72,27.2,-17.97,-38.72,6.0,0.0,7.0,1.0,285.0,997.0,31177.64,22552.58,5.17,13.22,65.21,1.65,0.01,0.0,0.0,1.0,2021-08-16 14:50:11,
0.05,0.15,0.69,1027.43,25.6,-17.97,-38.73,-0.62,59.87,5.69,2.0,275.79,997.0,4929.77,3694.82,-0.01,53.28,6.49,3.09,-0.05,0.0,0.0,1.0,2021-08-16 14:57:11,60.0
0.2,-0.12,0.87,1027.76,26.7,-17.95,-38.79,-8.0,49.29,5.15,1.09,241.57,997.0,4363.82,3357.78,0.0,54.75,1.38,9.65,-0.05,0.0,0.0,1.0,2021-08-16 15:05:11,60.0
0.35,0.01,1.04,1027.13,27.09,-17.93,-38.85,30.85,60.39,3.44,2.15,204.46,997.0,5586.95,4174.61,0.0,51.55,-3.04,15.63,-0.06,0.0,0.0,1.0,2021-08-16 15:12:11,60.0
0.17,-0.11,0.89,1026.65,27.29,-17.92,-38.91,-60.47,43.72,4.73,1.68,228.68,997.0,4527.04,3449.15,-0.0,50.54,21.7,22.37,-0.06,0.0,0.0,1.0,2021-08-16 15:20:11,60.0
1.33,0.43,3.04,1025.05,27.43,-17.9,-38.96,-59.0,46.27,4.17,1.87,282.0,997.0,5325.3,3937.53,-0.01,39.34,-0.82,27.86,-0.08,0.0,0.0,1.0,2021-08-16 15:27:11,60.0
0.98,0.61,3.25,1318.13,25.17,-17.89,-39.0,3.07,48.38,4.07,1.29,296.95,996.0,6876.96,4930.23,0.14,18.96,-4.78,32.36,2.84,1.0,1.02,1.0,2021-08-16 15:35:11,60.0
0.45,0.01,1.24,1022.99,24.23,-17.88,-39.04,-14.32,51.9,4.86,1.41,300.35,996.0,4264.72,3191.74,-0.09,54.79,-13.01,36.77,-0.1,0.0,0.0,1.0,2021-08-16 15:42:11,60.0
0.08,0.06,0.99,1026.84,26.82,-17.88,-39.05,-62.22,0.0,3.44,1.27,268.0,996.89,3475.73,2858.06,0.02,2.41,71.56,37.55,-0.06,0.0,0.0,1.0,2021-08-16 15:50:11,60.0
0.3,-0.0,0.88,1027.85,28.2,-17.88,-39.05,-48.7,0.37,6.95,1.3,258.7,997.0,3698.32,2980.61,0.06,3.28,162.81,37.56,-0.05,0.0,0.0,1.0,2021-08-16 15:57:11,60.0
