ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.56,-0.19,1.5,1025.48,23.4,-17.96,-38.69,2.0,33.3,4.0,1.4,208.0,989.0,,5776.12,4226.63,0.0,36.69,21.34,1.15,0.03,0.0,0.0,2.0,2022-09-24 09:48:01,
0.19,0.38,1.31,1024.72,23.6,-17.95,-38.66,-6.0,51.9,5.0,1.4,262.0,989.0,,4781.19,3580.18,0.0,39.5,12.21,3.78,0.02,0.0,0.0,2.0,2022-09-24 09:52:01,60.0
0.19,0.0,1.5,1024.39,23.9,-17.95,-38.64,12.0,44.4,4.0,1.4,146.0,989.0,,4680.54,3541.91,0.02,41.98,-30.93,5.92,0.02,0.0,0.0,2.0,2022-09-24 09:56:01,60.0
-0.19,-0.19,0.0,1024.7,23.7,-17.95,-38.61,32.0,22.2,4.0,1.2,220.0,991.0,,4734.17,3500.04,0.0,33.68,3.17,8.78,0.02,0.0,0.0,2.0,2022-09-24 10:01:01,60.0
0.19,-0.18,0.03,1023.56,23.7,-17.95,-38.59,11.43,22.57,3.0,2.1,185.95,991.0,,4747.38,3465.21,0.0,26.72,31.59,11.13,0.01,0.0,0.0,2.0,2022-09-24 10:05:01,60.0
0.38,-0.18,1.7,1023.55,23.8,-17.95,-38.57,8.5,18.56,3.0,2.1,177.18,991.02,,4673.89,3447.7,-0.02,23.77,35.65,13.92,0.01,0.0,0.0,2.0,2022-09-24 10:10:01,60.0
0.55,0.74,2.42,1024.42,23.8,-17.95,-38.55,57.03,22.2,3.02,2.08,273.38,991.0,,5361.57,3883.57,0.0,18.08,0.39,15.97,0.02,0.0,0.0,2.0,2022-09-24 10:14:01,60.0
0.01,-0.18,1.32,1023.65,23.9,-17.95,-38.53,49.03,29.78,3.98,1.21,243.94,991.98,,4753.67,3545.36,0.0,27.74,15.57,18.11,0.01,0.0,0.0,2.0,2022-09-24 10:19:01,60.0
0.19,0.19,0.75,1021.46,23.1,-17.95,-38.52,10.0,40.7,3.0,2.0,238.0,991.0,,5541.78,4073.06,0.0,3.99,7.8,18.79,-0.01,0.0,0.0,2.0,2022-09-24 10:23:01,60.0
0.0,0.37,0.75,1021.97,22.8,-17.95,-38.51,-17.43,22.76,3.0,1.4,217.37,993.95,,4471.35,3331.34,0.0,21.27,48.71,19.3,-0.0,0.0,0.0,2.0,2022-09-24 10:28:01,60.0
0.19,0.19,1.12,1023.93,23.4,-17.96,-38.5,12.0,25.9,4.0,1.1,334.0,991.0,,4498.61,3343.81,0.0,31.91,-61.59,20.52,0.02,0.0,0.0,2.0,2022-09-24 10:32:01,60.0
0.0,0.56,0.76,1024.81,23.8,-17.97,-38.48,-49.44,37.3,3.02,1.4,274.41,992.98,,4565.11,3430.33,0.0,41.12,-30.72,22.55,0.02,0.0,0.0,2.0,2022-09-24 10:36:01,60.0
0.18,-0.18,0.57,1024.07,23.8,-17.97,-38.46,9.77,33.11,3.0,1.3,300.52,992.02,,4554.29,3377.84,0.0,43.12,-18.59,25.39,0.02,0.0,0.0,2.0,2022-09-24 10:41:01,60.0
