ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.0,0.19,0.94,1037.92,22.7,-17.97,-38.71,28.0,59.3,5.0,1.3,314.0,990.0,4457.42,3462.61,-0.02,30.86,-32.15,1.23,0.02,0.0,0.0,6.0,2022-09-26 07:56:00,
0.0,-0.18,0.58,1041.1,24.9,-18.03,-38.76,29.31,48.56,5.0,2.2,294.69,991.0,4601.34,3514.7,0.02,46.62,-7.18,10.21,0.05,0.0,0.0,6.0,2022-09-26 08:08:00,60.0
0.19,0.18,0.94,1041.56,25.5,-18.1,-38.83,4.63,51.84,4.98,2.1,342.63,991.0,4481.12,3421.42,0.0,48.35,0.08,20.75,0.05,0.0,0.0,6.0,2022-09-26 08:21:00,60.0
0.2,0.01,0.94,1040.65,25.5,-18.17,-38.91,35.61,48.56,4.0,1.3,295.16,991.0,4931.39,3691.57,0.02,43.76,-19.16,31.51,0.04,0.0,0.0,6.0,2022-09-26 08:34:00,60.0
0.02,-0.0,0.78,1039.29,22.8,-18.22,-38.96,23.21,40.82,3.0,1.3,177.56,990.0,4494.16,3411.62,0.02,38.45,-22.09,39.75,0.03,0.0,0.0,6.0,2022-09-26 08:47:00,60.0
0.2,-0.18,1.53,1041.95,23.7,-18.27,-39.03,-0.4,51.84,4.0,1.1,215.92,990.98,4197.48,3248.17,-0.0,53.17,-3.03,48.05,0.06,0.0,0.0,6.0,2022-09-26 09:00:00,60.0
0.18,-0.0,0.92,1042.63,24.7,-18.34,-39.08,24.2,48.08,3.98,1.1,245.16,991.0,4524.48,3438.72,0.02,47.35,4.45,57.96,0.06,0.0,0.0,6.0,2022-09-26 09:13:00,60.0
0.93,-0.01,2.81,1040.83,25.5,-18.42,-39.09,13.5,37.19,4.0,1.2,245.77,991.0,4640.81,3504.46,0.0,37.52,14.99,65.67,0.05,0.0,0.0,6.0,2022-09-26 09:25:00,60.0
1.12,0.75,3.0,1041.83,24.2,-18.48,-39.08,-24.0,22.2,3.0,2.0,221.0,991.0,4188.96,3284.13,0.0,34.07,18.81,70.23,0.06,0.0,0.0,6.0,2022-09-26 09:38:00,60.0
-0.19,0.0,0.38,1039.93,25.6,-18.55,-39.07,36.0,40.7,4.0,1.3,265.0,992.0,4450.06,3378.06,0.0,33.0,11.54,75.81,0.04,0.0,0.0,6.0,2022-09-26 09:51:00,60.0
0.52,-0.08,1.7,1039.79,24.55,-18.61,-39.07,23.06,32.65,3.0,3.43,264.57,991.0,20125.64,15369.37,3.59,33.44,5.31,81.96,0.04,0.0,0.0,6.0,2022-09-26 10:04:00,60.0
0.08,0.0,0.74,1043.55,24.28,-18.67,-39.08,9.55,29.6,3.52,5.22,321.36,991.0,21019.75,15861.16,3.44,31.29,-0.29,88.09,0.07,0.0,0.0,6.0,2022-09-26 10:17:00,60.0
0.19,0.18,1.12,1041.52,23.5,-18.73,-39.1,14.41,44.34,3.02,2.18,324.54,990.0,4573.69,3428.57,-0.02,42.25,5.19,95.38,0.05,0.0,0.0,6.0,2022-09-26 10:30:00,60.0
-0.18,0.37,0.36,1088.21,24.01,-18.77,-39.08,10.2,29.72,3.0,2.4,362.21,991.0,5927.8,4299.04,0.02,26.03,-31.69,98.44,0.52,0.0,0.0,6.0,2022-09-26 10:42:00,60.0
0.19,0.0,1.31,1039.47,23.4,-18.78,-39.1,35.39,62.75,2.98,3.09,353.03,991.0,4602.74,3535.47,-0.02,28.39,75.82,99.81,0.03,0.0,0.0,6.0,2022-09-26 10:55:00,60.0
0.0,0.18,0.57,1038.97,24.9,-18.79,-39.07,59.36,33.24,3.0,4.1,321.56,991.0,4409.04,3370.91,-0.02,24.84,62.44,99.46,0.03,0.0,0.0,6.0,2022-09-26 11:08:00,60.0
0.59,-0.19,-0.37,1362.65,23.7,-18.77,-39.07,-11.97,54.97,3.0,7.2,357.03,991.0,7860.79,5637.76,-0.02,7.93,125.9,98.0,3.25,0.98,0.98,6.0,2022-09-26 11:21:00,60.0
0.19,-0.19,0.23,1042.01,25.37,-18.77,-39.06,18.26,39.53,3.47,3.21,350.41,991.0,20158.28,15145.61,3.24,14.17,0.18,97.67,0.06,0.0,0.0,6.0,2022-09-26 11:34:00,60.0
0.19,0.0,0.77,1047.28,24.5,-18.77,-39.05,-0.1,0.0,3.05,3.15,350.2,991.0,4046.53,2755.35,-0.0,1.52,150.56,96.98,0.11,0.0,0.0,6.0,2022-09-26 11:47:00,60.0
0.01,0.17,-0.3,1038.32,24.79,-18.77,-39.06,39.7,61.54,3.05,3.91,360.05,991.0,4579.78,3541.51,0.02,21.21,-162.71,97.44,0.02,0.0,0.0,6.0,2022-09-26 11:59:00,60.0
0.9,0.0,3.09,1038.65,25.5,-18.77,-39.06,37.41,37.0,3.05,4.86,354.85,991.95,4270.2,3294.26,0.02,31.71,-22.03,97.12,0.02,0.0,0.0,6.0,2022-09-26 12:12:00,60.0
0.36,0.0,1.29,1042.36,24.72,-18.78,-39.07,21.4,50.97,3.0,4.0,354.25,991.0,5056.15,3750.73,-0.03,22.97,-100.09,98.46,0.06,0.0,0.0,6.0,2022-09-26 12:25:00,60.0
0.19,0.18,0.89,1038.93,25.68,-18.78,-39.05,39.18,33.06,3.0,3.3,356.2,992.0,3918.84,3116.22,0.02,28.68,12.32,97.9,0.03,0.0,0.0,6.0,2022-09-26 12:38:00,60.0
0.94,-0.56,2.81,1039.66,24.8,-18.79,-39.07,4.0,59.3,4.0,2.2,368.0,991.0,5084.13,3819.17,-0.02,48.86,-1.17,99.51,0.03,0.0,0.0,6.0,2022-09-26 12:51:00,60.0
