ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,-0.56,1.5,1032.76,25.2,-17.95,-38.67,2.0,40.7,7.0,0.4,354.0,994.0,,29820.27,21850.96,5.08,24.02,-21.52,3.25,0.1,0.0,0.0,4.0,2022-09-26 14:38:09,
0.03,0.16,0.97,1026.03,25.68,-17.95,-38.62,62.1,35.53,4.85,1.4,314.0,993.0,,4475.84,3347.1,0.0,37.35,-0.33,7.92,0.04,0.0,0.0,4.0,2022-09-26 14:45:09,60.0
0.24,0.86,1.58,1024.3,26.0,-17.96,-38.58,49.6,44.4,4.13,1.18,327.13,994.0,,4427.92,3345.04,0.01,40.43,14.76,11.99,0.02,0.0,0.0,4.0,2022-09-26 14:52:09,60.0
-0.12,0.19,0.53,1023.75,25.81,-17.98,-38.54,17.45,40.7,6.88,0.47,354.84,991.36,,4050.1,3139.72,0.01,44.74,24.96,16.13,0.01,0.0,0.0,4.0,2022-09-26 14:59:09,60.0
0.21,0.14,1.05,1024.09,26.0,-17.99,-38.51,51.33,42.19,3.87,1.32,308.0,992.27,,4383.63,3276.8,0.0,40.0,-4.56,19.65,0.02,0.0,0.0,4.0,2022-09-26 15:06:09,60.0
0.03,-0.1,0.97,1024.17,26.43,-18.0,-38.48,48.3,37.56,4.0,1.12,331.65,995.85,,4035.48,3068.41,-0.03,39.13,-32.03,23.56,0.02,0.0,0.0,4.0,2022-09-26 15:13:09,60.0
-0.16,-0.19,-0.51,1024.49,27.19,-18.02,-38.44,-6.52,38.09,4.0,1.3,362.67,994.3,,4261.79,3204.04,0.0,39.24,5.1,28.02,0.02,0.0,0.0,4.0,2022-09-26 15:20:09,60.0
-0.14,-0.19,0.16,1024.37,27.0,-18.04,-38.4,42.13,47.69,4.13,1.1,322.93,995.0,,4144.43,3166.79,0.0,42.2,7.22,32.74,0.02,0.0,0.0,4.0,2022-09-26 15:27:09,60.0
0.16,0.32,1.58,1024.36,26.5,-18.04,-38.36,16.2,37.56,4.0,1.3,354.8,995.0,,4348.51,3247.28,-0.01,43.78,13.82,37.06,0.02,0.0,0.0,4.0,2022-09-26 15:34:09,60.0
-0.06,0.07,0.88,1024.52,26.63,-18.05,-38.31,17.36,48.32,4.64,1.17,343.47,996.32,,12382.49,9309.6,1.81,44.5,7.05,42.19,0.02,0.0,0.0,4.0,2022-09-26 15:42:09,60.0
0.0,-0.13,-0.72,1024.09,26.38,-18.06,-38.27,30.2,40.7,5.85,1.1,338.55,995.0,,4637.42,3432.84,0.0,41.47,14.47,46.49,0.02,0.0,0.0,4.0,2022-09-26 15:49:09,60.0
0.32,-0.14,1.45,1022.28,23.79,-18.07,-38.23,32.67,61.52,4.13,1.2,338.27,993.0,,4680.16,3479.39,0.0,46.99,23.5,50.89,-0.0,0.0,0.0,4.0,2022-09-26 15:56:09,60.0
-0.32,0.13,0.52,1023.88,23.68,-18.08,-38.19,22.8,37.0,3.15,1.4,275.2,992.15,,5033.36,3774.22,0.0,31.01,-12.56,54.94,0.01,0.0,0.0,4.0,2022-09-26 16:03:09,60.0
0.03,0.03,0.81,1022.21,24.02,-18.08,-38.16,40.7,40.7,4.85,1.21,305.4,993.0,,4498.77,3366.65,0.0,39.78,4.26,58.55,-0.0,0.0,0.0,4.0,2022-09-26 16:10:09,60.0
-0.14,0.14,0.61,1022.11,24.0,-18.1,-38.12,5.6,43.91,3.0,2.1,298.93,993.0,,4452.51,3364.39,0.0,41.67,5.29,62.57,-0.0,0.0,0.0,4.0,2022-09-26 16:17:09,60.0
-0.14,0.1,0.94,1022.05,24.1,-18.11,-38.09,28.2,43.9,4.73,1.41,353.07,993.0,,4437.69,3430.77,0.01,38.62,-2.3,66.44,-0.0,0.0,0.0,4.0,2022-09-26 16:24:09,60.0
0.0,0.34,0.6,1022.37,23.4,-18.11,-38.07,82.83,55.28,3.91,1.37,350.9,992.26,,4467.78,3432.51,0.03,30.82,-102.03,67.84,-0.0,0.0,0.0,4.0,2022-09-26 16:31:09,60.0
0.37,-0.36,0.75,1025.85,23.31,-18.14,-38.05,148.26,26.04,4.02,1.4,318.87,991.0,,4173.42,3354.22,0.07,34.25,-2.0,71.06,0.03,0.0,0.0,4.0,2022-09-26 16:39:09,60.0
0.17,0.19,1.44,1073.64,23.55,-18.16,-38.04,-331.12,36.38,3.11,5.6,342.06,992.21,,3261.22,2579.25,-0.15,46.46,44.7,72.19,0.51,0.11,0.11,4.0,2022-09-26 16:46:09,60.0
-0.19,0.17,0.94,1026.1,24.01,-18.15,-38.04,-45.93,0.0,3.12,3.78,317.67,989.35,,4378.0,3322.73,0.01,3.0,-77.44,72.42,0.04,0.0,0.0,4.0,2022-09-26 16:53:09,60.0
0.19,0.16,1.01,1023.17,23.41,-18.18,-38.03,8.59,50.14,4.0,1.4,363.92,986.61,,4160.03,3259.45,0.0,46.04,75.76,74.51,0.01,0.0,0.0,4.0,2022-09-26 17:00:09,60.0
-0.19,0.23,0.77,1026.04,24.0,-18.18,-38.03,-17.39,0.44,3.0,2.1,294.44,818.12,,4239.87,3239.87,0.01,1.52,54.17,74.81,0.04,0.0,0.0,4.0,2022-09-26 17:07:09,60.0
0.35,0.32,1.87,1022.75,24.03,-18.19,-38.01,7.48,37.0,3.0,2.01,312.39,991.7,,4194.99,3256.33,0.0,34.06,-0.72,76.23,0.0,0.0,0.0,4.0,2022-09-26 17:14:09,60.0
0.03,0.0,0.86,1021.91,24.11,-18.21,-37.99,17.77,46.55,3.15,2.0,319.13,991.15,,4538.22,3521.22,0.0,33.08,-7.8,79.48,-0.01,0.0,0.0,4.0,2022-09-26 17:21:09,60.0
0.13,-0.38,-0.54,1022.42,24.5,-18.22,-37.96,38.82,39.2,3.85,1.49,320.56,992.15,,4269.67,3344.45,0.0,32.74,-29.09,82.6,-0.0,0.0,0.0,4.0,2022-09-26 17:28:09,60.0
0.67,-0.27,1.98,1022.94,23.91,-18.21,-37.95,33.13,17.02,3.0,2.3,335.92,989.44,,5018.14,3832.32,-0.02,8.83,148.68,83.72,0.01,0.0,0.0,4.0,2022-09-26 17:36:09,60.0
