ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,0.0,0.75,1047.3,23.2,-17.97,-38.71,34.0,7.4,4.0,1.2,291.0,990.0,3955.13,2983.66,0.0,19.23,-35.81,1.18,0.04,0.0,0.0,2.0,2022-09-25 07:54:00,
0.38,0.18,1.13,1048.67,23.6,-17.98,-38.72,4.66,44.04,4.97,1.01,316.18,991.0,4403.36,3195.97,0.02,39.59,-1.53,3.03,0.06,0.0,0.0,2.0,2022-09-25 07:57:00,60.0
0.37,-0.56,0.93,1048.86,24.1,-18.0,-38.74,-0.1,40.64,3.02,1.4,285.25,991.0,4320.3,3149.43,0.02,37.31,-1.43,5.65,0.06,0.0,0.0,2.0,2022-09-25 08:01:00,60.0
0.19,-0.19,-1.27,1048.49,24.2,-18.01,-38.76,0.0,26.21,3.0,1.4,237.92,991.0,4430.7,3214.54,-0.02,39.77,11.64,8.41,0.05,0.0,0.0,2.0,2022-09-25 08:05:00,60.0
0.19,0.17,0.91,1048.85,24.4,-18.03,-38.79,6.87,51.72,3.0,1.4,284.94,991.0,4342.21,3183.99,0.03,49.3,0.77,11.37,0.06,0.0,0.0,2.0,2022-09-25 08:09:00,60.0
0.74,-0.36,2.21,1048.92,24.4,-18.04,-38.81,7.93,44.03,3.0,1.4,304.6,991.0,4649.39,3397.88,0.0,42.48,12.34,14.18,0.06,0.0,0.0,2.0,2022-09-25 08:13:00,60.0
0.37,0.0,1.3,1048.75,24.4,-18.05,-38.82,8.17,43.96,3.0,1.4,236.46,991.0,4578.59,3344.24,-0.02,43.01,3.19,16.22,0.06,0.0,0.0,2.0,2022-09-25 08:16:00,60.0
0.68,-0.22,0.71,1054.65,24.51,-18.06,-38.83,40.79,0.0,3.0,1.4,197.17,991.0,4246.62,2908.49,-0.1,1.39,63.86,17.21,0.12,0.0,0.0,2.0,2022-09-25 08:20:00,60.0
0.0,-0.17,0.02,1050.51,22.7,-18.07,-38.84,1.33,43.78,3.0,1.4,268.1,990.03,4449.53,3261.65,0.0,19.45,-7.99,18.3,0.07,0.0,0.0,2.0,2022-09-25 08:24:00,60.0
0.71,-0.89,1.02,1049.85,22.5,-18.08,-38.86,-17.03,36.76,3.0,2.0,313.77,990.0,4781.01,3492.94,0.03,43.47,0.53,21.02,0.07,0.0,0.0,2.0,2022-09-25 08:28:00,60.0
0.18,-0.01,0.91,1049.7,22.6,-18.08,-38.89,-4.39,32.94,3.0,2.1,296.0,990.0,4705.43,3440.45,0.03,38.53,-3.34,23.51,0.07,0.0,0.0,2.0,2022-09-25 08:32:00,60.0
