ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,-0.19,1.12,1025.16,25.3,-17.98,-38.7,14.0,59.3,6.0,1.0,274.0,994.0,,5404.77,4042.66,0.0,61.41,36.7,1.67,0.01,0.0,0.0,3.0,2022-09-27 17:38:01,
0.94,-0.38,3.19,1025.73,26.1,-18.01,-38.71,-8.0,51.9,6.0,1.0,315.0,995.0,,5173.86,3886.5,0.0,49.95,-8.36,5.33,0.01,0.0,0.0,3.0,2022-09-27 17:42:01,60.0
0.19,0.0,0.94,1026.67,27.6,-18.05,-38.71,0.0,63.0,6.0,1.0,308.0,996.0,,4627.34,3547.03,0.0,59.67,-1.92,10.14,0.02,0.0,0.0,3.0,2022-09-27 17:47:01,60.0
0.74,-0.19,0.39,1026.96,28.2,-18.09,-38.72,-48.62,52.02,4.0,2.1,280.39,996.0,,4688.13,3599.25,0.0,57.1,2.85,14.01,0.03,0.0,0.0,3.0,2022-09-27 17:51:01,60.0
0.37,0.0,1.49,1026.48,27.5,-18.13,-38.73,9.9,59.3,4.0,2.2,290.17,994.03,,4754.68,3622.38,0.0,56.01,-1.39,18.6,0.02,0.0,0.0,3.0,2022-09-27 17:56:01,60.0
0.19,-1.12,1.69,1027.2,28.6,-18.16,-38.74,20.0,48.2,5.0,1.4,327.0,996.0,,4931.04,3758.79,0.0,56.57,8.54,22.26,0.03,0.0,0.0,3.0,2022-09-27 18:00:01,60.0
-0.05,-0.53,1.21,1027.71,28.6,-18.19,-38.75,7.23,17.43,3.72,2.61,286.79,996.0,,26001.97,19539.11,4.36,47.03,12.91,25.65,0.03,0.0,0.0,3.0,2022-09-27 18:05:01,60.0
-0.18,-0.01,0.94,1027.93,27.6,-18.2,-38.76,-15.19,0.0,3.0,3.4,269.17,995.03,,3398.6,2847.58,-0.01,1.79,-20.44,27.61,0.04,0.0,0.0,3.0,2022-09-27 18:10:01,60.0
0.19,-0.01,1.12,1027.25,27.32,-18.21,-38.76,2.75,0.0,3.0,4.09,291.22,995.84,,3912.3,3050.62,0.06,1.45,104.9,27.67,0.03,0.0,0.0,3.0,2022-09-27 18:14:01,60.0
0.37,-0.01,1.1,1023.16,27.3,-18.22,-38.75,38.23,22.69,2.98,4.41,355.38,995.0,,5437.91,4067.66,0.02,26.53,11.98,29.6,-0.01,0.0,0.0,3.0,2022-09-27 18:19:01,60.0
0.19,0.0,0.94,1023.74,28.2,-18.23,-38.74,12.0,29.6,3.0,5.3,365.0,996.0,,5197.84,3843.22,0.0,35.82,-3.34,30.39,-0.01,0.0,0.0,3.0,2022-09-27 18:23:01,60.0
-0.12,-0.19,0.96,1027.94,28.28,-18.24,-38.73,-7.06,10.68,3.0,6.92,283.24,998.65,,4375.36,3421.83,0.12,10.1,54.35,31.3,0.04,0.0,0.0,3.0,2022-09-27 18:28:01,60.0
0.0,-0.18,0.93,1028.66,28.79,-18.24,-38.73,-1.79,0.0,3.0,8.19,280.83,996.0,,3249.26,2798.7,-0.03,2.63,-157.73,31.35,0.04,0.0,0.0,3.0,2022-09-27 18:32:01,60.0
0.19,-0.01,0.94,1028.04,28.6,-18.25,-38.73,-5.48,3.58,3.0,11.17,326.08,996.0,,3720.78,2934.32,0.02,5.7,3.2,31.49,0.04,0.0,0.0,3.0,2022-09-27 18:37:01,60.0
0.01,-0.18,1.29,1027.95,27.61,-18.25,-38.73,1.03,6.92,3.0,16.32,326.39,995.94,,3701.8,2955.54,0.03,1.63,-168.32,31.52,0.04,0.0,0.0,3.0,2022-09-27 18:42:01,60.0
0.19,-0.19,0.94,1027.62,27.5,-18.25,-38.73,2.64,10.44,3.0,25.76,320.46,996.0,,3352.2,2748.3,-0.04,4.79,-143.05,31.58,0.03,0.0,0.0,3.0,2022-09-27 18:46:01,60.0
-0.38,0.19,0.0,1026.89,26.0,-18.24,-38.73,-4.0,40.7,5.0,1.2,322.0,996.0,,4663.79,3587.15,0.0,39.65,49.0,30.98,0.03,0.0,0.0,3.0,2022-09-27 18:51:01,60.0
0.19,0.0,1.5,1023.66,26.6,-18.23,-38.73,34.0,22.2,6.0,1.2,356.0,995.0,,4635.64,3552.0,0.0,22.01,26.14,29.96,-0.01,0.0,0.0,3.0,2022-09-27 18:55:01,60.0
0.01,-0.01,1.13,1027.25,26.6,-18.22,-38.74,0.45,1.31,5.0,1.2,304.1,995.0,,4636.0,3550.2,0.03,36.85,19.57,28.66,0.03,0.0,0.0,3.0,2022-09-27 19:00:01,60.0
0.19,0.0,1.12,1027.07,25.8,-18.2,-38.75,-14.0,37.0,5.0,1.2,350.0,995.0,,4441.76,3404.22,-0.02,44.81,13.61,27.32,0.03,0.0,0.0,3.0,2022-09-27 19:04:01,60.0
0.38,0.0,0.75,1027.16,26.6,-18.2,-38.76,0.0,0.0,5.0,1.2,259.0,995.0,,3372.08,2803.94,-0.02,1.26,57.67,26.88,0.03,0.0,0.0,3.0,2022-09-27 19:09:01,60.0
-0.19,-0.19,0.38,1028.03,26.5,-18.2,-38.76,18.0,40.7,5.0,1.2,282.0,995.0,,5327.51,3917.22,-0.02,19.46,-135.68,26.67,0.04,0.0,0.0,3.0,2022-09-27 19:14:01,60.0
0.19,-0.38,0.94,1023.65,26.5,-18.19,-38.75,52.0,22.2,4.0,2.2,309.0,995.0,,5120.39,3844.31,0.02,20.02,-79.04,26.14,-0.01,0.0,0.0,3.0,2022-09-27 19:18:01,60.0
0.19,-0.18,0.02,1023.48,27.3,-18.19,-38.74,-229.74,18.56,3.98,1.2,245.48,995.02,,4911.16,3671.88,-0.02,22.59,31.4,25.01,-0.01,0.0,0.0,3.0,2022-09-27 19:23:01,60.0
