ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
-0.56,0.38,-2.06,1005.81,34.6,-17.97,-38.69,50.0,74.1,4.0,2.3,323.0,995.0,,3558.39,2710.32,-0.02,39.07,48.14,1.31,-0.12,0.0,0.0,2.0,2022-09-23 15:52:01,
0.56,-0.18,1.1,1011.41,28.49,-18.13,-38.5,43.72,74.1,3.0,2.12,317.34,989.94,,4762.76,3429.84,0.08,63.22,-0.38,28.7,-0.07,0.0,0.0,2.0,2022-09-23 16:27:01,60.0
0.0,-0.38,0.38,1012.73,30.0,-18.35,-38.29,-6.0,70.4,2.0,3.3,307.0,991.0,,4552.23,3265.92,0.0,60.88,-0.48,61.54,-0.05,0.0,0.0,2.0,2022-09-23 17:03:01,60.0
0.18,-0.01,0.75,1013.86,26.69,-18.41,-38.09,26.67,42.47,3.0,26.82,302.0,989.0,,4766.41,3397.67,0.05,44.64,27.4,82.14,-0.04,0.0,0.0,2.0,2022-09-23 17:39:01,60.0
0.31,-0.19,-0.03,1068.71,27.45,-18.42,-37.95,12.91,32.98,3.33,1.18,284.87,989.0,,82344.47,58949.03,15.91,31.91,47.57,94.83,0.5,0.11,2.5,2.0,2022-09-23 18:15:01,60.0
0.18,-0.19,0.34,1192.01,26.67,-18.39,-37.91,10.48,23.96,4.06,1.13,286.82,989.0,,257577.72,184411.85,51.66,25.54,28.07,96.54,1.73,0.35,8.11,2.0,2022-09-23 18:51:01,60.0
0.04,-0.19,0.71,1315.3,25.89,-18.35,-37.88,8.04,14.93,4.79,1.08,288.77,989.0,,432810.97,309874.67,87.42,19.17,8.56,98.26,2.96,0.6,13.72,2.0,2022-09-23 19:27:01,60.0
-0.1,-0.19,1.07,1438.59,25.11,-18.32,-37.84,5.6,5.91,5.52,1.03,290.72,989.0,,608044.22,435337.49,123.18,12.79,-10.94,99.97,4.19,0.84,19.33,2.0,2022-09-23 20:03:01,60.0
0.18,-0.19,0.94,1017.86,23.9,-18.3,-37.82,-16.75,0.13,4.03,1.29,272.85,988.0,,3523.82,2665.42,0.02,2.05,28.78,101.32,-0.0,0.0,0.0,2.0,2022-09-23 20:39:01,60.0
0.01,0.0,0.94,1018.0,24.0,-18.31,-37.81,12.92,3.52,3.1,1.2,297.33,988.05,,3410.35,2589.28,0.0,2.62,22.58,101.93,-0.0,0.0,0.0,2.0,2022-09-23 21:15:01,60.0
