ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.0,-0.19,0.94,1020.64,24.6,-17.96,-38.69,-12.0,63.0,4.0,1.3,341.0,108.0,,6651.51,4872.81,0.0,23.84,16.46,1.28,0.04,0.0,0.0,3.0,2022-09-26 07:49:02,
0.0,-0.19,0.19,1020.36,25.8,-17.91,-38.63,35.95,44.39,4.0,1.4,304.09,306.92,,4369.27,3320.43,-0.02,47.94,9.55,9.23,0.04,0.0,0.0,3.0,2022-09-26 07:59:02,60.0
0.18,-0.01,1.25,1021.87,26.55,-17.87,-38.58,4.02,37.44,4.0,2.9,356.67,256.21,,44159.15,33754.2,9.07,39.88,-6.13,15.79,0.05,0.0,0.0,3.0,2022-09-26 08:09:02,60.0
0.0,-0.18,-0.17,1022.22,25.3,-17.83,-38.55,12.63,48.2,3.0,3.2,273.57,599.37,,4060.9,3188.36,0.0,47.86,4.06,21.54,0.06,0.0,0.0,3.0,2022-09-26 08:19:02,60.0
0.38,0.19,1.12,1021.99,26.4,-17.78,-38.49,8.0,44.4,4.0,1.4,376.0,818.0,,4782.11,3640.82,0.02,48.91,-18.4,30.36,0.06,0.0,0.0,3.0,2022-09-26 08:30:02,60.0
0.19,0.19,1.31,1021.79,26.8,-17.71,-38.44,-24.0,63.0,4.0,1.3,359.0,841.0,,4383.07,3376.33,0.0,52.3,7.26,38.79,0.05,0.0,0.0,3.0,2022-09-26 08:40:02,60.0
0.19,-0.19,1.31,1021.62,27.1,-17.65,-38.4,10.0,51.9,3.0,3.3,337.0,855.0,,4551.19,3506.46,0.02,52.7,-0.01,47.53,0.05,0.0,0.0,3.0,2022-09-26 08:50:02,60.0
0.0,0.37,0.39,1021.11,27.4,-17.57,-38.35,-3.93,48.26,2.98,2.01,329.69,852.95,,4281.7,3301.24,-0.02,50.59,8.45,57.45,0.05,0.0,0.0,3.0,2022-09-26 09:01:02,60.0
0.0,-0.38,0.75,1020.36,27.6,-17.5,-38.3,14.0,29.6,2.0,2.4,305.0,863.0,,4313.37,3337.91,0.0,53.46,-6.83,66.15,0.04,0.0,0.0,3.0,2022-09-26 09:11:02,60.0
0.47,0.23,1.57,1020.3,28.07,-17.44,-38.26,2.27,51.39,2.62,2.28,339.87,863.63,,24272.1,18660.52,4.36,47.17,1.79,74.03,0.04,0.0,0.0,3.0,2022-09-26 09:21:02,60.0
0.0,0.0,0.75,1017.61,27.0,-17.41,-38.22,16.0,48.2,3.0,2.1,284.0,834.0,,4766.14,3602.98,0.02,22.81,45.9,80.25,0.01,0.0,0.0,3.0,2022-09-26 09:32:02,60.0
0.93,0.55,2.96,1020.66,27.0,-17.37,-38.19,-5.9,40.32,3.0,2.1,253.51,827.93,,4398.42,3375.87,-0.0,38.7,-5.24,85.26,0.04,0.0,0.0,3.0,2022-09-26 09:42:02,60.0
0.92,0.37,3.14,1021.77,25.0,-17.34,-38.18,-37.66,48.07,3.0,2.2,278.46,322.08,,3328.02,2582.17,-0.25,42.42,6.85,88.69,0.05,0.0,0.0,3.0,2022-09-26 09:52:02,60.0
0.19,0.0,-0.32,1022.84,26.3,-17.28,-38.16,40.33,33.55,3.0,2.2,258.03,786.23,,3557.9,2881.34,-0.03,41.14,0.79,95.5,0.06,0.0,0.0,3.0,2022-09-26 10:02:02,60.0
0.19,0.19,1.31,1023.65,26.7,-17.27,-38.09,2.0,51.9,3.0,2.3,344.0,855.0,,4208.02,3291.25,0.0,45.08,24.09,100.84,0.07,0.0,0.0,3.0,2022-09-26 10:13:02,60.0
