ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.0,0.0,0.94,1002.67,24.1,-17.96,-38.69,-4.0,33.3,3.0,1.4,243.0,991.0,4813.34,3539.26,0.03,28.58,-15.03,1.37,-0.07,0.0,0.0,1.0,2022-09-23 07:32:05,
0.0,0.01,1.11,1003.2,24.3,-17.94,-38.67,-7.81,36.52,3.0,1.39,256.35,991.0,4382.44,3278.62,0.0,27.23,-9.47,3.87,-0.07,0.0,0.0,1.0,2022-09-23 07:38:05,60.0
0.0,0.35,0.4,1003.61,24.9,-17.92,-38.65,-1.6,22.2,2.05,1.3,286.0,991.0,4359.15,3264.41,-0.02,24.77,-2.4,6.88,-0.06,0.0,0.0,1.0,2022-09-23 07:45:05,60.0
0.38,-0.56,2.06,1015.83,24.6,-17.9,-38.64,-26.0,0.0,2.0,1.3,214.0,991.0,5015.91,3588.37,0.02,10.19,37.93,9.29,0.06,0.0,0.0,1.0,2022-09-23 07:51:05,60.0
-0.18,0.18,0.74,1004.87,24.3,-17.88,-38.64,-13.59,29.73,3.0,1.3,269.59,990.02,3391.46,2518.11,-0.23,28.96,-10.08,11.29,-0.05,0.0,0.0,1.0,2022-09-23 07:58:05,60.0
0.39,0.06,0.25,1023.26,24.32,-17.85,-38.63,9.31,35.86,3.0,1.34,248.88,991.0,31442.93,23359.5,5.98,29.04,11.94,14.43,0.13,0.04,0.35,1.0,2022-09-23 08:05:05,60.0
0.4,0.11,0.32,1041.45,24.35,-17.83,-38.62,8.62,34.73,3.0,1.38,251.74,991.0,58354.23,43351.95,11.94,28.95,10.89,17.09,0.32,0.08,0.69,1.0,2022-09-23 08:11:05,60.0
0.42,0.18,0.39,1062.68,24.37,-17.8,-38.61,7.82,33.41,3.0,1.42,255.08,991.0,89750.75,66676.47,18.9,28.85,9.66,20.2,0.53,0.12,1.09,1.0,2022-09-23 08:18:05,60.0
0.43,0.24,0.46,1080.88,24.4,-17.78,-38.61,7.13,32.28,3.0,1.46,257.95,991.0,116662.05,86668.92,24.86,28.76,8.6,22.85,0.71,0.16,1.43,1.0,2022-09-23 08:24:05,60.0
0.45,0.31,0.53,1102.11,24.42,-17.75,-38.6,6.33,30.97,3.0,1.5,261.29,991.0,148058.56,109993.45,31.82,28.65,7.37,25.96,0.92,0.2,1.83,1.0,2022-09-23 08:31:05,60.0
0.47,0.37,0.61,1123.33,24.45,-17.72,-38.59,5.53,29.65,3.0,1.55,264.63,991.0,179455.08,133317.97,38.77,28.55,6.14,29.06,1.13,0.25,2.24,1.0,2022-09-23 08:38:05,60.0
0.48,0.43,0.67,1141.53,24.47,-17.7,-38.59,4.84,28.52,3.0,1.59,267.49,991.0,206366.38,153310.42,44.73,28.46,5.09,31.72,1.31,0.29,2.58,1.0,2022-09-23 08:44:05,60.0
0.5,0.5,0.75,1162.76,24.5,-17.67,-38.58,4.04,27.2,3.0,1.63,270.83,991.0,237762.9,176634.95,51.69,28.35,3.86,34.82,1.52,0.33,2.98,1.0,2022-09-23 08:51:05,60.0
0.51,0.55,0.81,1180.95,24.52,-17.65,-38.57,3.35,26.07,3.0,1.67,273.7,991.0,264674.19,196627.4,57.65,28.26,2.81,37.48,1.71,0.37,3.32,1.0,2022-09-23 08:57:05,60.0
0.53,0.62,0.89,1202.18,24.55,-17.62,-38.57,2.55,24.75,3.0,1.71,277.04,991.0,296070.71,219951.92,64.61,28.16,1.58,40.58,1.92,0.41,3.72,1.0,2022-09-23 09:04:05,60.0
0.55,0.69,0.96,1223.41,24.58,-17.6,-38.56,1.75,23.43,3.0,1.76,280.38,991.0,327467.23,243276.44,71.57,28.06,0.35,43.68,2.13,0.46,4.13,1.0,2022-09-23 09:11:05,60.0
0.56,0.75,1.03,1241.61,24.6,-17.57,-38.55,1.06,22.3,3.0,1.8,283.24,991.0,354378.53,263268.89,77.53,27.97,-0.71,46.34,2.31,0.5,4.47,1.0,2022-09-23 09:17:05,60.0
0.58,0.81,1.1,1262.84,24.62,-17.55,-38.55,0.26,20.98,3.0,1.84,286.58,991.0,385775.04,286593.42,84.48,27.86,-1.94,49.44,2.52,0.54,4.87,1.0,2022-09-23 09:24:05,60.0
0.59,0.88,1.18,1284.06,24.65,-17.52,-38.54,-0.54,19.67,3.0,1.89,289.92,991.0,417171.56,309917.94,91.44,27.76,-3.17,52.55,2.73,0.59,5.27,1.0,2022-09-23 09:31:05,60.0
0.61,0.94,1.24,1302.26,24.67,-17.49,-38.53,-1.23,18.53,3.0,1.92,292.79,991.0,444082.86,329910.39,97.4,27.67,-4.22,55.21,2.91,0.62,5.61,1.0,2022-09-23 09:37:05,60.0
0.63,1.0,1.32,1323.49,24.7,-17.47,-38.53,-2.03,17.22,3.0,1.97,296.13,991.0,475479.37,353234.92,104.36,27.56,-5.45,58.31,3.13,0.67,6.02,1.0,2022-09-23 09:44:05,60.0
0.64,1.06,1.38,1341.68,24.72,-17.44,-38.52,-2.72,16.09,3.0,2.01,298.99,991.0,502390.67,373227.37,110.32,27.48,-6.51,60.97,3.31,0.71,6.36,1.0,2022-09-23 09:50:05,60.0
0.66,1.13,1.46,1362.91,24.75,-17.42,-38.51,-3.52,14.77,3.0,2.05,302.33,991.0,533787.19,396551.89,117.28,27.37,-7.73,64.07,3.52,0.75,6.76,1.0,2022-09-23 09:57:05,60.0
0.67,1.19,1.53,1384.14,24.78,-17.39,-38.51,-4.32,13.45,3.0,2.1,305.67,991.0,565183.7,419876.42,124.23,27.27,-8.96,67.17,3.73,0.8,7.16,1.0,2022-09-23 10:04:05,60.0
0.69,1.25,1.6,1402.34,24.8,-17.37,-38.5,-5.01,12.32,3.0,2.13,308.54,991.0,592095.0,439868.87,130.2,27.18,-10.02,69.83,3.91,0.83,7.5,1.0,2022-09-23 10:10:05,60.0
0.7,1.32,1.67,1423.57,24.83,-17.34,-38.49,-5.81,11.0,3.0,2.18,311.88,991.0,623491.52,463193.39,137.15,27.07,-11.25,72.93,4.12,0.88,7.91,1.0,2022-09-23 10:17:05,60.0
