ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.75,-0.38,2.06,1027.0,24.2,-17.96,-38.69,0.0,29.6,3.0,5.1,222.0,982.0,,4413.09,3194.94,0.0,33.92,24.11,1.14,-0.04,0.0,0.0,1.0,2022-09-23 07:52:00,
0.56,0.37,2.05,1027.27,24.6,-17.94,-38.68,15.77,25.96,3.0,4.0,239.15,981.95,,4459.54,3168.43,0.0,27.27,2.09,3.33,-0.04,0.0,0.0,1.0,2022-09-23 07:57:00,60.0
0.07,-0.09,0.82,1027.64,25.24,-17.92,-38.67,5.61,25.9,3.37,2.92,318.96,982.37,,16249.45,11562.35,2.62,27.68,1.16,5.68,-0.03,0.0,0.0,1.0,2022-09-23 08:02:00,60.0
-0.19,0.19,-3.56,1027.76,25.6,-17.9,-38.65,0.0,18.5,4.0,2.1,272.0,983.0,,3695.41,2635.85,-0.17,26.75,4.23,8.52,-0.03,0.0,0.0,1.0,2022-09-23 08:08:00,60.0
0.0,-0.38,0.0,1027.74,24.0,-17.89,-38.65,12.0,33.3,4.0,2.2,280.0,1004.0,,4591.3,3280.73,0.02,34.08,-16.26,9.29,-0.03,0.0,0.0,1.0,2022-09-23 08:13:00,60.0
0.19,-0.2,0.75,1027.95,24.1,-17.87,-38.64,-12.16,33.3,4.0,2.2,206.67,985.02,,4689.78,3327.03,0.0,30.14,-4.49,12.31,-0.03,0.0,0.0,1.0,2022-09-23 08:19:00,60.0
0.19,-0.18,0.74,1028.27,24.3,-17.85,-38.62,-4.17,29.6,4.0,2.3,233.52,987.0,,4582.96,3250.11,0.0,28.46,14.09,14.9,-0.03,0.0,0.0,1.0,2022-09-23 08:24:00,60.0
0.94,-0.35,2.82,1028.43,24.5,-17.83,-38.61,-10.27,29.6,4.0,2.3,216.77,986.98,,4608.91,3273.71,0.0,27.79,-3.54,17.79,-0.03,0.0,0.0,1.0,2022-09-23 08:30:00,60.0
0.0,-0.73,0.19,1028.44,24.7,-17.8,-38.6,-68.82,33.36,4.0,2.3,227.11,986.0,,4315.36,3078.12,-0.02,31.96,-3.16,20.43,-0.03,0.0,0.0,1.0,2022-09-23 08:35:00,60.0
0.19,0.55,0.02,1028.45,24.8,-17.78,-38.59,-40.07,33.18,4.0,2.3,238.85,985.0,,4501.04,3204.33,0.0,33.11,0.74,23.88,-0.03,0.0,0.0,1.0,2022-09-23 08:41:00,60.0
0.38,-0.94,1.31,1028.62,24.8,-17.76,-38.57,-26.0,33.3,4.0,2.3,244.0,985.0,,4596.21,3248.73,0.02,32.31,-7.25,26.36,-0.02,0.0,0.0,1.0,2022-09-23 08:46:00,60.0
0.01,-0.19,0.19,1028.66,24.9,-17.73,-38.56,-11.9,25.96,4.0,2.2,216.75,985.0,,4577.66,3239.98,0.0,31.63,12.74,29.42,-0.02,0.0,0.0,1.0,2022-09-23 08:52:00,60.0
0.57,-0.37,0.59,1029.13,25.1,-17.71,-38.55,-40.63,29.66,4.0,2.2,239.4,985.0,,4383.07,3128.02,0.0,35.22,8.17,32.18,-0.02,0.0,0.0,1.0,2022-09-23 08:57:00,60.0
0.56,0.56,1.69,1029.0,25.3,-17.69,-38.54,-16.0,22.2,4.0,2.1,213.0,985.0,,4469.28,3197.1,0.02,26.91,-2.96,35.33,-0.02,0.0,0.0,1.0,2022-09-23 09:03:00,60.0
0.12,-0.16,0.43,1029.15,25.71,-17.67,-38.52,-9.05,31.03,4.0,2.45,237.13,985.0,,16244.66,11523.59,2.63,32.54,2.43,37.96,-0.02,0.0,0.0,1.0,2022-09-23 09:08:00,60.0
0.19,-0.19,0.56,1029.18,25.8,-17.64,-38.51,0.0,25.9,4.0,3.0,268.0,985.0,,4471.17,3157.35,-0.02,30.39,-7.97,41.12,-0.02,0.0,0.0,1.0,2022-09-23 09:14:00,60.0
0.19,-0.38,0.94,1029.03,25.8,-17.62,-38.49,-4.0,37.0,4.0,3.1,258.0,985.0,,4402.16,3142.37,0.0,34.17,2.11,43.89,-0.02,0.0,0.0,1.0,2022-09-23 09:19:00,60.0
0.19,-0.38,0.38,1029.35,25.9,-17.59,-38.48,52.0,33.3,4.0,3.1,294.0,985.0,,4606.43,3262.1,0.0,32.7,-2.61,47.4,-0.02,0.0,0.0,1.0,2022-09-23 09:25:00,60.0
0.0,0.19,0.75,1029.53,26.1,-17.57,-38.46,18.0,33.3,4.0,3.1,262.0,985.0,,4429.62,3138.5,-0.02,34.36,-8.35,50.29,-0.01,0.0,0.0,1.0,2022-09-23 09:30:00,60.0
0.38,-0.38,0.94,1029.67,26.3,-17.55,-38.44,-2.0,33.3,4.0,3.0,259.0,985.0,,4736.7,3344.84,0.0,31.96,-2.78,53.76,-0.01,0.0,0.0,1.0,2022-09-23 09:36:00,60.0
0.38,0.0,1.31,1029.89,26.5,-17.52,-38.43,12.0,29.6,4.0,2.4,261.0,985.0,,4476.44,3167.17,0.0,33.12,3.19,56.64,-0.01,0.0,0.0,1.0,2022-09-23 09:41:00,60.0
0.75,0.38,1.88,1030.04,26.7,-17.49,-38.41,-18.0,29.6,4.0,2.3,206.0,985.0,,4367.7,3096.63,0.0,37.03,2.12,60.22,-0.01,0.0,0.0,1.0,2022-09-23 09:47:00,60.0
