ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
-0.19,-0.19,0.56,1006.86,28.4,-17.96,-38.7,24.0,22.2,3.0,2.2,205.0,993.0,3417.25,2745.74,-0.02,30.77,-42.13,1.18,-0.11,0.0,0.0,1.0,2022-09-23 13:10:01,
-0.19,-0.38,0.19,1011.76,25.7,-17.95,-38.73,-20.0,29.6,3.0,2.1,216.0,991.0,4202.91,3152.87,0.0,38.92,-10.35,4.17,-0.06,0.0,0.0,1.0,2022-09-23 13:17:01,60.0
-0.19,0.0,-0.56,1011.17,26.3,-17.93,-38.76,32.0,25.9,3.0,2.1,250.0,991.0,4142.6,3092.96,-0.02,33.28,-4.0,8.01,-0.06,0.0,0.0,1.0,2022-09-23 13:24:01,60.0
0.0,0.19,1.12,1011.09,26.8,-17.91,-38.79,-14.0,33.3,3.0,2.1,261.0,991.0,4055.22,3051.58,0.0,34.48,26.87,11.92,-0.06,0.0,0.0,1.0,2022-09-23 13:31:01,60.0
-0.18,-0.18,0.39,1010.6,27.2,-17.89,-38.82,25.7,43.98,3.02,2.09,300.64,991.98,4115.18,3122.59,0.02,23.46,27.54,15.38,-0.07,0.0,0.0,1.0,2022-09-23 13:38:01,60.0
0.0,-0.19,1.12,1010.96,27.7,-17.87,-38.85,-10.0,37.0,4.0,1.4,305.0,992.0,4195.08,3124.24,-0.02,28.59,4.19,19.63,-0.06,0.0,0.0,1.0,2022-09-23 13:46:01,60.0
0.19,-0.18,0.94,1008.87,25.7,-17.85,-38.87,47.2,25.96,3.0,2.3,246.9,991.0,4291.95,3133.18,-0.0,28.98,-14.84,22.27,-0.09,0.0,0.0,1.0,2022-09-23 13:53:01,60.0
0.19,0.0,1.12,1012.56,24.81,-17.84,-38.88,-15.98,22.31,3.0,3.02,301.09,990.01,8902.64,6530.98,0.99,24.11,-29.58,23.63,-0.05,0.01,0.02,1.0,2022-09-23 14:00:01,60.0
0.17,0.01,1.11,1025.21,24.87,-17.84,-38.88,-15.81,23.07,3.0,3.14,301.75,990.05,39486.54,29150.86,7.95,23.18,-29.96,23.79,0.08,0.05,0.14,1.0,2022-09-23 14:07:01,60.0
0.15,0.02,1.09,1039.67,24.94,-17.84,-38.88,-15.63,23.93,3.0,3.28,302.5,990.09,74439.57,55002.15,15.9,22.12,-30.4,23.98,0.22,0.09,0.28,1.0,2022-09-23 14:15:01,60.0
0.14,0.03,1.07,1052.32,25.0,-17.84,-38.88,-15.46,24.69,3.0,3.4,303.16,990.13,105023.48,77622.03,22.86,21.19,-30.78,24.14,0.35,0.13,0.4,1.0,2022-09-23 14:22:01,60.0
0.12,0.03,1.06,1064.97,25.06,-17.84,-38.88,-15.3,25.45,3.0,3.53,303.81,990.18,135607.38,100241.9,29.82,20.25,-31.17,24.3,0.47,0.18,0.53,1.0,2022-09-23 14:29:01,60.0
