ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,0.0,0.94,1014.14,24.6,-17.96,-38.69,46.0,48.2,3.0,4.2,269.0,994.0,3482.79,2795.09,0.0,33.55,26.8,1.03,-0.12,0.0,0.0,1.0,2022-09-23 07:26:02,
0.74,-0.93,1.85,1020.27,25.4,-17.93,-38.67,-4.25,40.53,3.02,6.04,232.46,993.02,4224.28,3124.0,-0.05,31.39,-11.02,5.25,-0.06,0.0,0.0,1.0,2022-09-23 07:35:02,60.0
0.38,0.0,0.94,1020.28,25.8,-17.9,-38.64,-52.0,33.3,3.0,8.4,242.0,995.0,4513.9,3301.83,-0.02,26.03,-2.43,9.93,-0.06,0.0,0.0,1.0,2022-09-23 07:45:02,60.0
0.21,0.49,0.89,1020.02,25.99,-17.87,-38.61,6.7,31.05,3.0,4.23,273.61,995.0,4960.46,3698.24,0.13,28.17,1.86,14.62,-0.06,0.0,0.0,1.0,2022-09-23 07:55:02,60.0
0.23,0.0,0.79,1036.29,25.4,-17.85,-38.58,-4.28,26.92,3.0,1.83,266.02,994.43,29723.1,21717.69,5.34,22.42,-33.09,18.24,0.1,0.0,0.0,1.0,2022-09-23 08:05:02,60.0
-0.01,-0.19,0.18,1020.38,25.0,-17.83,-38.54,-5.77,29.6,3.0,1.3,148.95,994.0,4398.65,3246.09,0.02,33.09,0.64,23.29,-0.06,0.0,0.0,1.0,2022-09-23 08:15:02,60.0
0.71,0.67,2.44,1020.17,25.1,-17.79,-38.51,13.03,26.62,3.0,1.3,244.92,994.0,4292.22,3213.06,0.03,32.63,-12.03,28.46,-0.06,0.0,0.0,1.0,2022-09-23 08:25:02,60.0
0.0,0.0,0.19,1019.75,25.1,-17.75,-38.47,-36.0,25.9,3.0,1.2,272.0,994.0,4437.29,3270.58,0.0,32.08,13.27,34.03,-0.06,0.0,0.0,1.0,2022-09-23 08:35:02,60.0
0.18,-0.18,1.12,1019.58,25.3,-17.71,-38.43,-8.0,29.66,3.0,1.2,300.23,994.0,4211.37,3109.89,0.0,32.86,-1.16,40.22,-0.07,0.0,0.0,1.0,2022-09-23 08:45:02,60.0
0.19,-0.36,1.48,1019.34,25.7,-17.67,-38.4,-18.16,40.88,3.0,4.0,326.85,995.0,4453.29,3288.56,0.03,31.03,-1.65,45.74,-0.07,0.0,0.0,1.0,2022-09-23 08:55:02,60.0
