ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,0.56,1.12,1012.69,24.1,-17.96,-38.69,-4.0,66.7,3.0,1.2,211.0,989.0,,4923.62,3549.55,0.0,33.47,17.45,1.52,-0.1,0.0,0.0,1.0,2022-09-23 09:12:00,
0.2,0.38,1.52,1013.21,25.4,-17.92,-38.65,5.9,44.4,3.98,1.1,243.72,991.0,,4721.34,3457.56,0.02,38.8,13.7,7.06,-0.09,0.0,0.0,1.0,2022-09-23 09:21:00,60.0
0.19,0.0,0.76,1014.63,25.9,-17.88,-38.62,-11.25,33.24,3.98,1.1,228.97,991.98,,4596.49,3388.6,0.02,33.18,-19.09,12.24,-0.08,0.0,0.0,1.0,2022-09-23 09:30:00,60.0
0.18,0.55,1.48,1015.01,26.3,-17.85,-38.59,13.73,33.36,4.0,1.1,224.1,992.98,,4544.77,3330.47,0.0,35.9,-1.53,17.36,-0.07,0.0,0.0,1.0,2022-09-23 09:39:00,60.0
0.19,-0.19,0.56,1014.8,26.7,-17.81,-38.56,-48.0,22.2,4.0,1.1,223.0,993.0,,4159.85,3123.48,-0.02,31.0,0.43,22.36,-0.08,0.0,0.0,1.0,2022-09-23 09:48:00,60.0
0.18,0.38,1.28,1014.51,25.7,-17.78,-38.53,8.16,33.36,3.98,1.1,223.0,992.0,,4416.01,3273.46,0.02,35.39,-5.5,26.96,-0.08,0.0,0.0,1.0,2022-09-23 09:57:00,60.0
-0.18,-0.55,-0.19,1015.48,26.4,-17.73,-38.52,-9.8,40.7,3.0,2.0,222.0,993.0,,4480.96,3308.24,0.02,35.0,5.44,32.0,-0.07,0.0,0.0,1.0,2022-09-23 10:06:00,60.0
0.18,0.18,0.93,1015.84,26.9,-17.69,-38.5,35.41,37.06,3.02,1.99,198.31,993.0,,4450.51,3275.99,0.02,34.84,2.02,37.23,-0.07,0.0,0.0,1.0,2022-09-23 10:15:00,60.0
0.37,0.73,1.86,1015.92,27.2,-17.64,-38.48,-1.57,40.58,3.0,1.4,258.73,993.98,,4500.19,3314.25,0.0,34.44,-2.5,42.49,-0.06,0.0,0.0,1.0,2022-09-23 10:24:00,60.0
-0.18,0.56,0.57,1017.37,27.6,-17.6,-38.46,41.0,33.3,3.0,1.3,247.0,994.0,,4547.65,3340.04,0.0,34.39,4.05,47.73,-0.05,0.0,0.0,1.0,2022-09-23 10:33:00,60.0
