ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
1.12,-1.12,2.63,1043.12,23.0,-17.97,-38.69,-26.0,44.4,3.0,2.0,209.0,991.0,7069.08,4953.97,-0.03,19.84,-108.68,1.12,0.06,0.0,0.0,3.0,2022-09-24 07:43:02,
-0.18,-0.0,-0.54,1041.18,24.1,-17.59,-38.42,13.77,51.9,3.0,4.0,252.95,991.0,4654.4,3355.02,0.0,46.36,-15.7,51.19,0.04,0.0,0.0,3.0,2022-09-24 08:57:02,60.0
0.94,0.19,1.88,1040.24,24.5,-17.31,-38.46,-6.0,29.6,3.0,3.2,263.0,991.0,7032.4,4973.04,0.0,7.29,21.27,76.82,0.03,0.0,0.0,3.0,2022-09-24 10:12:02,60.0
0.38,-0.18,1.51,1041.43,25.9,-17.12,-38.36,-10.36,55.54,3.0,2.0,255.57,993.0,4538.32,3211.66,0.02,51.37,-0.16,100.84,0.04,0.0,0.0,3.0,2022-09-24 11:27:02,60.0
0.19,-0.36,0.94,1042.13,26.53,-17.28,-38.08,-9.84,44.7,3.0,2.3,311.62,993.0,4693.04,3444.83,0.05,37.64,-27.33,101.12,0.05,0.0,0.0,3.0,2022-09-24 12:42:02,60.0
0.0,-0.19,0.38,1041.59,27.8,-17.26,-37.81,6.07,48.14,3.02,1.1,284.73,993.0,4386.63,3189.96,-0.02,44.6,-26.64,122.71,0.05,0.0,0.0,3.0,2022-09-24 13:57:02,60.0
0.2,-0.01,0.94,1043.75,25.82,-17.38,-37.46,67.9,2.18,2.05,1.24,304.87,993.0,6160.64,4268.18,-0.0,15.1,-34.3,147.02,0.07,0.0,0.0,3.0,2022-09-24 15:12:02,60.0
0.19,-0.19,0.94,1040.32,27.2,-17.39,-37.46,0.0,0.0,3.0,1.4,263.0,993.0,3642.36,2738.24,0.02,1.27,-76.12,146.73,0.03,0.0,0.0,3.0,2022-09-24 16:26:02,60.0
0.56,-0.38,2.04,1037.11,23.4,-17.42,-37.47,17.97,29.35,3.0,2.1,255.85,991.0,4479.79,3209.2,-0.02,38.14,-143.21,143.82,0.0,0.0,0.0,3.0,2022-09-24 17:41:02,60.0
0.19,-0.38,0.94,1039.99,23.2,-17.36,-37.35,52.0,22.2,3.0,2.3,335.0,991.0,4627.69,3350.55,0.0,26.17,83.66,159.12,0.03,0.0,0.0,3.0,2022-09-24 18:56:02,60.0
0.0,-0.19,0.75,1040.73,23.2,-17.36,-37.22,-31.47,3.64,3.03,1.4,278.17,991.0,4006.17,2942.41,-0.02,2.3,-93.19,171.15,0.04,0.0,0.0,3.0,2022-09-24 20:11:02,60.0
0.19,-0.18,0.57,1041.52,23.51,-17.35,-37.22,-17.42,0.0,3.0,1.3,236.48,991.0,3587.47,2629.5,-0.03,1.08,-41.8,171.65,0.04,0.0,0.0,3.0,2022-09-24 21:26:02,60.0
0.37,-0.19,0.94,1045.05,24.1,-17.34,-37.22,-7.93,0.04,5.0,1.3,268.64,991.0,22945.77,15855.49,4.98,1.19,-3.76,171.56,0.08,0.0,0.0,3.0,2022-09-24 22:41:02,60.0
0.31,-0.12,0.87,1045.76,24.16,-17.33,-37.23,1.2,0.0,4.3,1.07,280.25,991.0,17027.92,11782.06,3.34,1.15,1.58,171.04,0.09,0.0,0.0,3.0,2022-09-24 23:55:02,60.0
0.19,-0.19,0.79,1046.34,24.32,-17.32,-37.24,-5.85,2.28,3.38,4.0,286.46,991.0,16766.45,11347.23,3.3,1.77,23.41,170.83,0.09,0.0,0.0,3.0,2022-09-25 01:10:02,60.0
0.38,-0.19,1.13,1046.73,24.39,-17.31,-37.25,-27.56,0.12,3.0,3.4,261.37,991.0,66687.64,45961.78,15.97,1.02,-72.7,170.99,0.1,0.0,0.0,3.0,2022-09-25 02:25:02,60.0
0.37,-0.19,0.94,1043.13,24.1,-17.3,-37.24,-24.04,3.7,2.0,3.1,301.33,991.0,3494.65,2402.9,-0.1,1.64,-25.04,172.28,0.06,0.0,0.0,3.0,2022-09-25 03:40:02,60.0
0.56,-0.19,0.56,1041.87,24.19,-17.29,-37.25,16.15,0.0,4.0,1.4,246.18,991.0,4218.51,2837.14,0.08,1.11,-4.54,171.88,0.05,0.0,0.0,3.0,2022-09-25 04:55:02,60.0
0.38,-0.19,0.57,1043.12,24.1,-17.28,-37.24,20.9,0.0,3.0,1.2,248.6,991.0,3726.92,2551.8,-0.03,1.78,-14.79,173.06,0.06,0.0,0.0,3.0,2022-09-25 06:10:02,60.0
0.19,-0.2,0.75,1041.99,24.1,-17.27,-37.26,-23.71,3.52,3.9,2.29,263.44,991.0,4477.48,3114.28,0.03,2.41,-79.7,171.99,0.05,0.0,0.0,3.0,2022-09-25 07:24:02,60.0
-0.18,-0.45,0.72,1039.53,22.9,-17.29,-37.18,-14.92,33.3,3.0,2.0,187.79,991.0,4600.08,3342.23,-0.02,33.5,-3.39,178.4,0.02,0.0,0.0,3.0,2022-09-25 08:39:02,60.0
0.19,-0.19,0.94,1042.08,23.8,-17.3,-37.19,-2.0,0.0,4.0,1.3,204.0,991.0,3819.38,2732.62,0.02,1.39,54.45,176.47,0.05,0.0,0.0,3.0,2022-09-25 09:54:02,60.0
-0.18,-0.53,0.41,1041.1,23.5,-17.41,-37.37,27.6,0.0,4.0,2.0,222.35,991.0,3628.49,2711.27,-0.0,0.37,-21.54,154.7,0.04,0.0,0.0,3.0,2022-09-25 11:09:02,60.0
0.0,-0.02,-0.54,1048.18,24.61,-17.59,-37.42,5.39,29.3,3.98,2.2,314.82,991.02,4860.08,3583.19,0.03,6.04,-1.78,142.14,0.11,0.02,0.02,3.0,2022-09-25 12:24:02,60.0
0.19,-0.19,0.75,1043.05,24.6,-17.62,-37.4,-33.53,0.0,3.0,2.0,278.73,991.98,3628.43,2715.71,-0.02,1.84,-25.48,143.35,0.06,0.0,0.0,3.0,2022-09-25 13:39:02,60.0
0.19,-0.19,0.94,1042.22,24.7,-17.61,-37.38,-6.0,0.0,2.0,1.1,316.0,991.0,3708.36,2746.98,0.0,1.24,59.1,145.15,0.05,0.0,0.0,3.0,2022-09-25 14:53:02,60.0
0.19,-0.19,0.94,1040.15,25.4,-17.43,-37.2,-10.0,44.4,3.0,1.2,328.0,992.0,4800.02,3461.84,0.0,55.45,-6.2,170.03,0.03,0.0,0.0,3.0,2022-09-25 16:08:02,60.0
0.75,-0.94,0.75,1038.1,22.8,-17.02,-37.06,20.0,33.3,3.0,4.4,302.0,991.0,4980.0,3534.05,0.02,43.18,-3.26,203.96,0.01,0.0,0.0,3.0,2022-09-25 17:23:02,60.0
0.19,-0.19,0.76,1040.15,23.8,-16.86,-37.03,-26.6,0.0,5.0,1.2,236.7,991.0,3391.18,2625.27,-0.02,1.77,39.24,216.52,0.03,0.0,0.0,3.0,2022-09-25 18:38:02,60.0
0.19,-0.0,0.75,1040.18,23.7,-16.86,-37.05,-27.47,0.06,4.98,1.2,280.58,991.0,3543.09,2680.07,0.0,2.28,18.03,214.5,0.03,0.0,0.0,3.0,2022-09-25 19:53:02,60.0
0.37,-0.19,0.94,1040.95,24.1,-16.86,-37.05,-1.42,0.0,3.0,1.3,237.81,991.0,3558.93,2601.99,-0.02,2.23,-3.69,213.83,0.04,0.0,0.0,3.0,2022-09-25 21:08:02,60.0
0.19,-0.09,0.75,1042.11,24.2,-16.87,-37.07,-3.85,1.84,3.99,1.65,292.92,991.0,13790.0,10005.74,2.54,1.55,-26.8,212.03,0.05,0.0,0.0,3.0,2022-09-25 22:22:02,60.0
0.19,-0.18,0.93,1042.34,24.3,-16.87,-37.09,19.34,0.0,3.03,1.3,269.7,991.0,3630.65,2660.15,0.0,1.97,40.27,210.35,0.05,0.0,0.0,3.0,2022-09-25 23:37:02,60.0
0.19,-0.19,0.57,1040.54,24.3,-16.88,-37.1,-3.9,0.06,3.0,4.0,276.61,991.0,3576.42,2619.34,-0.02,2.7,167.66,208.89,0.03,0.0,0.0,3.0,2022-09-26 00:52:02,60.0
