ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,-0.75,0.38,1015.3,31.6,-17.95,-38.7,12.0,44.4,3.0,6.1,320.0,998.0,,4652.2,3406.88,-0.02,25.08,-15.79,1.27,-0.05,0.0,0.0,3.0,2022-09-23 17:19:00,
0.0,0.19,1.31,1015.08,31.4,-17.94,-38.71,-16.0,40.7,4.0,5.3,271.0,997.0,,4700.02,3397.56,-0.02,30.66,-4.46,2.1,-0.06,0.0,0.0,3.0,2022-09-23 17:21:00,60.0
0.19,0.19,0.94,1015.1,31.3,-17.94,-38.71,16.0,33.3,3.0,7.2,295.0,997.0,,4752.43,3434.35,-0.02,29.07,4.58,2.98,-0.06,0.0,0.0,3.0,2022-09-23 17:23:00,60.0
0.13,-0.26,0.83,1104.37,29.93,-17.93,-38.71,19.01,35.51,3.6,5.48,335.11,996.4,,14370.97,10234.19,1.69,20.96,9.34,3.69,0.83,0.3,0.3,3.0,2022-09-23 17:26:00,60.0
0.07,-0.15,0.71,1194.67,28.44,-17.93,-38.71,22.04,26.54,4.21,3.54,340.26,995.79,,23922.27,16982.01,3.39,15.48,-3.06,3.96,1.73,0.6,0.6,3.0,2022-09-23 17:28:00,60.0
0.0,-0.0,0.93,1011.91,26.4,-17.92,-38.71,10.3,14.92,3.98,1.21,314.77,994.0,,1774.01,1284.7,-0.62,18.07,60.52,4.39,-0.09,0.0,0.0,3.0,2022-09-23 17:31:00,60.0
0.37,-0.37,1.68,1014.21,26.81,-17.92,-38.71,-10.3,69.72,3.0,2.1,255.28,995.0,,4725.42,3425.18,0.0,20.05,-91.66,4.79,-0.06,0.0,0.0,3.0,2022-09-23 17:33:00,60.0
0.19,-0.56,1.13,1012.33,27.6,-17.92,-38.72,-9.38,22.02,3.0,2.0,247.0,995.0,,4908.33,3539.31,0.0,8.06,54.51,5.44,-0.08,0.0,0.0,3.0,2022-09-23 17:36:00,60.0
0.19,-0.19,1.31,1014.37,27.5,-17.91,-38.72,-22.0,44.4,3.0,2.0,275.0,995.0,,4642.19,3396.55,0.0,33.63,-39.01,6.03,-0.06,0.0,0.0,3.0,2022-09-23 17:38:00,60.0
0.19,0.18,0.94,1015.98,28.08,-17.91,-38.73,-7.6,18.38,3.0,1.4,222.92,995.98,,4673.14,3388.54,0.0,17.18,35.95,6.88,-0.05,0.02,0.02,3.0,2022-09-23 17:41:00,60.0
0.19,-0.01,1.31,1016.8,26.6,-17.9,-38.73,17.97,18.38,3.98,1.2,324.23,995.0,,5080.67,3660.04,0.03,14.16,113.21,6.98,-0.04,0.02,0.02,3.0,2022-09-23 17:43:00,60.0
0.74,0.18,2.41,1012.34,26.8,-17.9,-38.73,-1.67,15.22,3.0,1.3,251.26,995.0,,4414.19,3221.82,-0.03,24.92,-2.47,7.85,-0.08,0.0,0.0,3.0,2022-09-23 17:46:00,60.0
