ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.0,-0.38,0.94,1023.3,22.1,-17.95,-38.69,-46.0,48.2,3.0,2.3,245.0,518.0,4306.68,3152.7,-0.03,49.92,-11.91,1.75,0.05,0.0,0.0,2.0,2022-09-26 07:41:00,
0.19,-0.19,-0.9,1023.65,22.4,-17.84,-38.66,-7.73,40.83,4.0,1.0,313.15,514.02,4547.03,3285.2,0.0,46.7,-0.41,14.33,0.06,0.0,0.0,2.0,2022-09-26 07:56:00,60.0
0.18,0.18,0.74,1023.75,22.0,-17.75,-38.61,8.0,2.07,2.03,1.42,279.9,40.1,4302.06,3075.65,0.02,19.61,-9.73,25.11,0.06,0.0,0.0,2.0,2022-09-26 08:12:00,60.0
1.39,1.43,2.98,1026.44,23.02,-17.7,-38.57,-8.68,19.68,4.0,1.1,333.3,23.86,4532.18,3156.67,-0.21,2.05,36.02,31.68,0.08,0.0,0.0,2.0,2022-09-26 08:27:00,60.0
-0.01,-0.01,1.12,1023.38,22.3,-17.6,-38.5,0.29,51.18,3.0,2.3,347.94,346.77,4586.86,3360.73,0.03,41.55,11.61,44.88,0.05,0.0,0.0,2.0,2022-09-26 08:43:00,60.0
-0.17,-0.01,0.22,1023.51,22.8,-17.51,-38.45,21.54,48.56,3.0,2.0,332.15,243.89,4528.2,3346.95,0.01,55.97,4.98,57.34,0.06,0.0,0.0,2.0,2022-09-26 08:59:00,60.0
0.17,-0.36,1.44,1024.02,23.2,-17.38,-38.4,-21.9,62.28,2.05,1.34,330.95,264.85,4736.87,3471.11,0.03,56.11,4.5,71.7,0.06,0.0,0.0,2.0,2022-09-26 09:14:00,60.0
0.19,-0.56,1.31,1023.91,23.2,-17.24,-38.39,22.0,66.7,3.0,1.4,246.0,315.0,4807.94,3424.44,0.0,62.06,7.64,87.0,0.06,0.0,0.0,2.0,2022-09-26 09:30:00,60.0
0.0,-0.18,1.12,1022.44,22.8,-17.09,-38.36,0.13,52.21,3.0,2.1,280.48,39.98,4749.12,3331.82,-0.0,60.21,-1.33,103.33,0.04,0.0,0.0,2.0,2022-09-26 09:46:00,60.0
0.0,0.38,0.94,1024.53,23.3,-17.02,-38.31,-10.0,0.0,4.0,1.2,210.0,40.0,1493.82,1196.42,-0.55,1.92,28.46,112.45,0.07,0.0,0.0,2.0,2022-09-26 10:01:00,60.0
0.56,-0.56,1.69,1022.78,21.7,-16.95,-38.28,-4.0,40.7,4.0,1.1,279.0,25.0,4426.74,3127.67,-0.02,32.68,30.74,121.23,0.05,0.0,0.0,2.0,2022-09-26 10:17:00,60.0
0.19,-0.19,1.12,1024.74,21.8,-16.9,-38.28,-48.0,44.4,5.0,1.0,278.0,40.0,4152.05,3010.65,0.0,31.54,-6.87,126.31,0.07,0.0,0.0,2.0,2022-09-26 10:33:00,60.0
-0.19,-0.0,0.76,1025.04,21.6,-16.83,-38.28,-115.83,0.0,4.0,5.09,305.57,52.98,3697.76,2781.12,0.0,3.16,23.52,133.19,0.07,0.0,0.0,2.0,2022-09-26 10:48:00,60.0
0.0,-0.19,0.75,1140.12,22.2,-16.79,-38.28,-8.0,37.0,4.0,1.2,340.0,19.0,5262.36,3747.17,0.0,22.05,4.48,137.58,1.22,0.0,0.0,2.0,2022-09-26 11:04:00,60.0
-0.19,0.0,0.75,1025.95,23.2,-16.78,-38.28,10.0,0.0,4.0,2.2,238.0,61.0,3430.59,2755.12,0.0,0.44,-3.1,139.43,0.08,0.0,0.0,2.0,2022-09-26 11:20:00,60.0
0.19,0.19,0.94,1025.71,24.7,-16.78,-38.28,8.0,0.0,4.0,1.2,246.0,513.0,3356.51,2629.68,0.0,1.11,39.8,139.29,0.08,0.0,0.0,2.0,2022-09-26 11:35:00,60.0
0.0,-0.38,0.94,1025.8,24.1,-16.78,-38.27,-16.0,51.9,4.0,2.0,355.0,51.0,4336.84,3097.95,0.0,50.32,-9.16,138.75,0.08,0.0,0.0,2.0,2022-09-26 11:51:00,60.0
0.74,-0.74,2.03,1025.19,23.4,-16.8,-38.28,21.63,41.08,3.98,2.14,362.08,43.97,4519.14,3152.3,-0.02,41.2,-12.86,137.09,0.07,0.0,0.0,2.0,2022-09-26 12:07:00,60.0
-0.19,-0.19,0.94,1027.19,25.0,-16.79,-38.29,-29.48,0.0,3.0,5.2,262.64,47.1,4119.64,2824.13,-0.03,1.52,19.85,137.16,0.09,0.0,0.0,2.0,2022-09-26 12:22:00,60.0
